tweets,cleaned tweets,
 Yayyyy #hospital #humanpincushion http://t.co/QiC0Fp8mA8,"yayyyy,#hospital,#humanpincushion",can'tsay
" Yay, I love being up earlier than normal. &lt;&lt;&lt; #5am #Dentist","yay,love,earlier,normal,lt,lt,lt,#5am,#dentist",can'tsay
 Yaay! And my foot is officially better so I will start my runs again tomorrow :-) #boombitch #getfit #runningandtanning #excited,"yaay,foot,officially,start,runs,tomorrow,#boombitch,#getfit,#runningandtanning,#excited",can'tsay
 XenoPort's CEO Presents at Special Conference (Transcript) http://t.co/Pa3DbexeuJ #biotech,"xenoport,ceo,special,conference,transcript,#biotech",can'tsay
 XenoPort's CEO Presents at Special Conference (Transcript) http://t.co/NbyHfLxOb6 #biotech,"xenoport,ceo,special,conference,transcript,#biotech",can'tsay
" XenoPort weakness creates buying opportunity, says Wells Fargo http://t.co/cBV1BIibqQ #biotech","xenoport,weakness,creates,buying,opportunity,fargo,#biotech",can'tsay
" XenoPort weakness creates buying opportunity, says Wells Fargo http://t.co/bfkUMNR4uO #biotech","xenoport,weakness,creates,buying,opportunity,fargo,#biotech",can'tsay
 Xbox one will check your heart rate at home #futuremed #econsults #telemedicine,"xbox,check,heart,rate,home,#futuremed,#econsults,#telemedicine",can'tsay
 Wrapping up #ACPLD 2013. Thank you @AdvocatesIM for taking the time out of your busy lives to speak to #Congress on improving #healthcare!,"wrapping,#acpld,thank,taking,time,busy,lives,speak,#congress,improving,#healthcare",can'tsay
" Woza! “@Tha_MuziK: Im \turning up\"" “MrMakhosini: We have a MASSIVE #ALS edition this weekend!””""","woza,muzik,im,mrmakhosini,massive,#als,edition,weekend",can'tsay
 Wow! I never even considered how men could do a 'fair share' of nighttime #breastfeeding /cc @MenCanDoItBook,"wow,considered,fair,share,nighttime,#breastfeeding,cc",can'tsay
" Wow - in just 5 seconds, too “@dopaminergic13: Facial imaging technology reads pulse in real time  http://t.co/iExUkadFPx” #eHealth","wow,facial,imaging,technology,reads,pulse,real,time,#ehealth",can'tsay
" Would luv 2c #HIPAA intrpt'n \give users an aux drive w/ redund copies of others data\"" Data Cntrs!=Future of Cloud http://t.co/JHII17YWtm""","luv,#hipaa,intrpt,users,aux,drive,redund,copies,data,data,cntrs,future,cloud",can'tsay
 Work-related #leukemia: a systematic review. Which jobs are at risk?  http://t.co/1ZP6yoMTCZ #disease #occupation,"related,#leukemia,systematic,review,jobs,risk,#disease,#occupation",can'tsay
 Workout? Naaaa. Work hard! #notjustDIET #getfit #physical http://t.co/AXJLqnrfLS,"workout,naaaa,hard,#notjustdiet,#getfit,#physical",can'tsay
 Working out with the bros #family #team #genetics #goldsgym #getfit #upgrade,"bros,#family,#team,#genetics,#goldsgym,#getfit,#upgrade",can'tsay
 Working out to @Wale today #getfit,#getfit,can'tsay
 Working abroad? We advise #expats on international #healthinsurance for free. Call today! http://t.co/Ovouz45a1Y,"abroad,advise,#expats,international,#healthinsurance,free,call",can'tsay
 Worked out on my lunch today and there back on my business clothes like a champ! :)  #getfit… http://t.co/KuvbldagSx,"lunch,business,clothes,champ,#getfit…",can'tsay
" Work, Gym, Tan and should do laundry but theres not enough hours in the day. #busy #worklife #getfit","gym,tan,laundry,theres,hours,day,#busy,#worklife,#getfit",can'tsay
 Work time #hospital #SugicalUnit,"time,#hospital,#sugicalunit",can'tsay
 Work the floor 5pm &amp; 6pm WEDNESDAY!!!  Flirty floor work #floor101#bbc #getfit #sassycitystudio 4… http://t.co/P7zJEAyyrl,"floor,wednesday,flirty,floor,#floor101#bbc,#getfit,#sassycitystudio",can'tsay
" Work in #healthcare/ #pharma?We can help with #design, #marketing &amp; #app development for iOS &amp; Android.Find out more: http://t.co/7PEbh3yLmY","#healthcare,#pharma,help,#design,#marketing,#app,development,ios,android",can'tsay
 Work Freelance in the U.S.? Looking for cheaper health care? Check out FreelancersUnion: http://t.co/XZeTPy3FQb #Freelancer #HealthCare,"freelance,looking,cheaper,health,care,check,freelancersunion,#freelancer,#healthcare",can'tsay
" Work day dragging by. After 3 meetings this morning, I'm about over this. Now a visitation and then a grave service. Wanna be home #hospice","day,dragging,meetings,morning,visitation,grave,service,wanna,home,#hospice",can'tsay
" Woodcock at #E&amp;C_hearing: In risk-based compounding inspections, #FDA found tremendous quality deficit in producing sterile drugs.","woodcock,#,hearing,risk,based,compounding,inspections,#fda,found,tremendous,quality,deficit,producing,sterile,drugs",can'tsay
 Wondering what to eat after your intense #bootcamp sessions? Check out this article http://t.co/3qasETb3CK #eatclean #getfit #OttawaFitness,"wondering,eat,intense,#bootcamp,sessions,check,article,#eatclean,#getfit,#ottawafitness",can'tsay
 Wondering what #OASIS is? Or how hospitals and #homehealth can use OASIS to streamline care transitions? From @AHHQI: http://t.co/QGELfRsHJ7,"wondering,#oasis,hospitals,#homehealth,oasis,streamline,care,transitions",can'tsay
 Wondering how you can shop #glutenfree without breaking the bank? We have tips! http://t.co/2GFCgcx91J,"wondering,shop,#glutenfree,breaking,bank,tips",can'tsay
 Women should be required to take #epigenetics and basic #biology courses before becoming pregnant. #educateyourself #somuchstupid,"women,required,#epigenetics,basic,#biology,courses,becoming,pregnant,#educateyourself,#somuchstupid",can'tsay
 Women promise new tide for #healthIT http://t.co/EysUo2pXcc #shiftwise,"women,promise,tide,#healthit,#shiftwise",can'tsay
" Woman, 22, who underwent world's first successful womb transplant loses #IVF baby http://t.co/jqau9IzUTQ via @MailOnline","woman,underwent,world,successful,womb,transplant,loses,#ivf,baby,via",can'tsay
 Wockhardt stock plummets on US alert - Livemint #USFDA moves on after #ranbaxy now to #wockhardt #healthcare http://t.co/hjHosF59RP,"wockhardt,stock,plummets,alert,livemint,#usfda,moves,#ranbaxy,#wockhardt,#healthcare",can'tsay
 With our dear Principal! #EBM #hug #love #graduation http://t.co/nDKBNbYEXy,"dear,principal,#ebm,#hug,#love,#graduation",can'tsay
" With High Deductible Health Plans, It Pays To Shop Around For Care @KHNews http://t.co/r3FxhmUDtd #epatient","deductible,health,plans,pays,shop,care,#epatient",can'tsay
 with @chasingthealpha and myself RT @ChimeraResearch New Report: $VICL - Bear take on Allovectin-7 https://t.co/Kk3TQgRJb4  #biotech,"report,vicl,bear,allovectin,https,kk3tqgrjb4,#biotech",can'tsay
 With #HCR changing the landscape. Employers must stay informed with changes. #PPACA - http://t.co/Y7STnAe41c,"#hcr,changing,landscape,employers,stay,informed,changes,#ppaca",can'tsay
 With #HCR changing the landscape. Employers must stay informed with changes. #PPACA - http://t.co/XpaEaDMzlR,"#hcr,changing,landscape,employers,stay,informed,changes,#ppaca",can'tsay
 With #HCR changing the landscape. Employers must stay informed with changes. #PPACA - http://t.co/GW1c8XNLf8,"#hcr,changing,landscape,employers,stay,informed,changes,#ppaca",can'tsay
 Wish I could get a full blow sleeve without it effecting my career! Ill settle for the half sleeves #ems #profession,"wish,blow,sleeve,effecting,career,ill,settle,half,sleeves,#ems,#profession",can'tsay
 Wireless pill bottle wins Boehringer Ingelheim-sponsored healthcare innovation contest | Drug Store News http://t.co/irDtoTRVEg #adherence,"wireless,pill,bottle,wins,boehringer,ingelheim,sponsored,healthcare,innovation,contest,drug,store,news,#adherence",can'tsay
 Wings That Bliss – Skyred (2013) [Single] http://t.co/KuX87JozDb #darkelectro #ebm,"wings,bliss,–,skyred,single,#darkelectro,#ebm",can'tsay
 Win passes to the @RA_Society Star Rating and #HIX Summit June 20-21 http://t.co/q4GJ08KC7T,"win,passes,society,star,rating,#hix,summit,june",can'tsay
" William Rohr, MD, expressed concern about lack of NSWD clinical studies and device’s interaction with other devices seen in hospitals #FDA","william,rohr,md,expressed,concern,lack,nswd,clinical,studies,device’,interaction,devices,seen,hospitals,#fda",can'tsay
 Will there be an end to medical-billing secrecy in #healthcare ? http://t.co/lEQoOH9iKa #medicaldevice #medtech #FDA #ACO #ehealth#meddevice,"medical,billing,secrecy,#healthcare,#medicaldevice,#medtech,#fda,#aco,#ehealth#meddevice",can'tsay
 Will Robots Take the Place of Senior Care Providers? http://t.co/V6dVwFCwup via @HHCareNews  #homehealth,"robots,senior,care,providers,via,#homehealth",can'tsay
 Will google glass change the healthcare ? - http://t.co/OnMGZPBHFe #google #healthcare http://t.co/GEU4eKOsAC,"google,glass,change,healthcare,#google,#healthcare",can'tsay
 Will be presenting shortly in #bigdatamed: On impact of #genomics and #bigdata on 21st century #epidemiology http://t.co/npAnaKssbl,"shortly,#bigdatamed,impact,#genomics,#bigdata,century,#epidemiology",can'tsay
 Will #EMR vendors integrate 3rd party #patient data into their systems and allow access to data via API? #HealthBeat,"#emr,vendors,integrate,party,#patient,data,systems,allow,access,data,via,api,#healthbeat",can'tsay
 Why would you wait to get your hearing checked or get help with your hearing loss? #audiology #hearingloss http://t.co/ZY3dEO7xO1,"wait,hearing,checked,help,hearing,loss,#audiology,#hearingloss",can'tsay
 Why would you wait to get your hearing checked or get help with your hearing loss? #audiology #hearingloss http://t.co/tYhvjb10h8,"wait,hearing,checked,help,hearing,loss,#audiology,#hearingloss",can'tsay
 Why would anyone wanna sit down and scrape plaque off people's teeth all day? #dentist,"wanna,sit,scrape,plaque,people,teeth,day,#dentist",can'tsay
 Why we recommend SharePoint Online to our customers for a compliant mobile solution http://t.co/g6IbkiprC4  #HIPAA #FISMA #ISO27001,"recommend,sharepoint,online,customers,compliant,mobile,solution,#hipaa,#fisma,#iso27001",can'tsay
 Why We Don't Wear Hearing Aids | Psychology Today http://t.co/CKDmX9ZVTD | #audiology #hearingaids,"wear,hearing,aids,psychology,#audiology,#hearingaids",can'tsay
 Why should you compare treatment options &amp; how can you get started? This video explains: http://t.co/tAfLMpVErF #epatient #youroptions,"compare,treatment,options,started,video,explains,#epatient,#youroptions",can'tsay
 Why Portland Is Wrong About Water Fluoridation http://t.co/i4JfIJOnIG #health #dentist #water #fluoride,"portland,wrong,water,fluoridation,#health,#dentist,#water,#fluoride",can'tsay
 Why Portland Is Wrong About Water Fluoridation http://t.co/Ay7FrV2Jfo via @sciam #Bioethics,"portland,wrong,water,fluoridation,via,#bioethics",can'tsay
 Why pay more? Quality &amp; dependable #botox  Fast Delivery! Buy now! http://t.co/gGyXvwbQdo,"pay,quality,dependable,#botox,fast,delivery,buy",can'tsay
 Why our doctors aim for single embryo transfers in #IVF: http://t.co/QaXH9yK7oY,"doctors,aim,single,embryo,transfers,#ivf",can'tsay
" Why ostracize and #bully anyone who HAS to eat #glutenfree?! People, lets be mature and embrace everyone despite #differences. #love4all","ostracize,#bully,eat,#glutenfree,people,mature,embrace,despite,#differences,#love4all",can'tsay
 Why one trader is selling puts in Ariad http://t.co/qP9xizDnGM #biotech,"trader,selling,ariad,#biotech",can'tsay
 Why is the #FDA on some sort of #jihad about raw milk? Can anyone tell me? http://t.co/482f9jx758,"#fda,sort,#jihad,raw,milk,tell",can'tsay
 Why Genes mustn't be patented http://t.co/YQGnueCYbO #gene #genetic #gmo #dna #patent #biotech #health #science #rights #life #ethics,"genes,patented,#gene,#genetic,#gmo,#dna,#patent,#biotech,#health,#science,#rights,#life,#ethics",can'tsay
 Why does it seem the pharmaceutical industry is slow to adopt new technologies? Eric Langer insights http://t.co/wgqQeyqR4g #biotech #pharma,"pharmaceutical,industry,slow,adopt,technologies,eric,langer,insights,#biotech,#pharma",can'tsay
 Why Doctors Can Prescribe Arena's Belviq For Off Label Uses Without Worrying About Legal Liability http://t.co/sGiozfKU5z #biotech,"doctors,prescribe,arena,belviq,label,worrying,legal,liability,#biotech",can'tsay
 Why Doctors Can Prescribe Arena's Belviq For Off Label Uses Without Worrying About Legal Liability http://t.co/f02CQ6TIoF #biotech,"doctors,prescribe,arena,belviq,label,worrying,legal,liability,#biotech",can'tsay
 why did i wake up at 6am? #noreason #timetoworkout #yoga #getfit,"wake,#noreason,#timetoworkout,#yoga,#getfit",can'tsay
 Why aren't our #health cards accepted everywhere?  - The Globe and Mail http://t.co/bYYShlkooz #medicare #cdnhealth,"#health,cards,accepted,globe,mail,#medicare,#cdnhealth",can'tsay
 Why am I so obsessed with vampire diaries and Grey's anatomy? #tvshows #vampires #doctors #vampirediaries #greysanatomy,"obsessed,vampire,diaries,grey,anatomy,#tvshows,#vampires,#doctors,#vampirediaries,#greysanatomy",can'tsay
 Why #Healthcare Must Embrace #Cloud Computing http://t.co/GpegxMRRTO,"#healthcare,embrace,#cloud,computing",can'tsay
 Why #healthcare is slow to go mobile - FierceHealthcare:...,"#healthcare,slow,mobile,fiercehealthcare",can'tsay
 Why #healthcare is slow to go #mobile  - http://t.co/iRBEJ5XwQS  #mhealth,"#healthcare,slow,#mobile,#mhealth",can'tsay
 Why #healthcare is dragging its feet with #mobile: http://t.co/pt8HhoiWAL  via @fiercehealthcare,"#healthcare,dragging,feet,#mobile,via",can'tsay
 Why #Groupons and Other Social Coupons May Be Unethical in #Healthcare http://t.co/JlcNFJkaqK,"#groupons,social,coupons,unethical,#healthcare",can'tsay
 Who's your daddy? The perils of personal #genomics from @Slate http://t.co/kJOYrpWLAr,"daddy,perils,personal,#genomics",can'tsay
 Who's ready for #bootcamp tonight? 6:30 start - see you there! #rockets #getfit,"ready,#bootcamp,tonight,start,#rockets,#getfit",can'tsay
" Who's helping \Defeat the Wheat\"" tonight? #glutenfree http://t.co/8z6ObDEhJO""","helping,defeat,wheat,tonight,#glutenfree",can'tsay
 Who's all going to the AHIP Exchange Conference in Las Vegas? Should be a great event @AHIPEducation #HIX #Microsoft #technossus,"ahip,exchange,conference,las,vegas,event,#hix,#microsoft,#technossus",can'tsay
 Who Writes Clinical Notes? http://t.co/tYR902yxOS via @hitnewstweet #HealthIT,"writes,clinical,notes,via,#healthit",can'tsay
 Who Tweeted at #Neshco2013? RT @dandunlop: Twitter Stats for #neshco2013 Spring Conference @NESHCo #hcmktg http://t.co/SxpOYlYoat,"tweeted,#neshco2013,twitter,stats,#neshco2013,spring,conference,#hcmktg",can'tsay
 Who controls your genetic information? Many Questions - Genomics Ethics tackled #scichat #genomics http://t.co/FVBfZEateo,"controls,genetic,information,questions,genomics,ethics,tackled,#scichat,#genomics",can'tsay
 Whistleblower fired for pointing out unqualified Blood Bank Supervisor receives $2.1M settlement http://t.co/WO4XrS1Lsv #healthcare,"whistleblower,fired,unqualified,blood,bank,supervisor,receives,settlement,#healthcare",can'tsay
 Whistleblower fired for pointing out unqualified Blood Bank Supervisor receives $2.1M settlement http://t.co/axTDktd2Mo #healthcare,"whistleblower,fired,unqualified,blood,bank,supervisor,receives,settlement,#healthcare",can'tsay
 While board considers #Clavis #Pharma strategic option it appoints #CFO Gunnar #Manum to hold acting #CEO position as well #cancer #biotech,"board,considers,#clavis,#pharma,strategic,option,appoints,#cfo,gunnar,#manum,hold,acting,#ceo,position,#cancer,#biotech",can'tsay
 Where?! “@small_affair: NOLANeedsPeace argues #NOLA women dont need #PlannedParenthood b/c they have access to other #healthcare providers.”,"affair,nolaneedspeace,argues,#nola,women,dont,#plannedparenthood,access,#healthcare,providers",can'tsay
 Where is Dem plan? RT @bdomenech: RT @ddye022: high-risk pool bill will be making its return to the House floor: http://t.co/fM0FvhmNMO #hcr,"dem,plan,risk,pool,bill,return,house,floor,#hcr",can'tsay
 When you're tired of running or walking do one more lap...one day you will be glad you did #getfit,"tired,running,walking,lap,day,glad,#getfit",can'tsay
" When the going gets tough, it’s time to look after the #healthcare teams http://t.co/vHzNHiaRGz","tough,’,time,look,#healthcare,teams",can'tsay
 When the #IRS starts managing our health care how will it be able to side step #HIPAA?,"#irs,starts,managing,health,care,able,step,#hipaa",can'tsay
" When that pager goes off, shit gets real #ems","pager,goes,shit,real,#ems",can'tsay
 When Savvy Dealmaking Borders on Reckless Spending http://t.co/CBtLfvQfPF #biotech,"savvy,dealmaking,borders,reckless,spending,#biotech",can'tsay
" When it comes to health care, it pays to shop around  http://t.co/5pq0gcwWlA #philly #healthcare","comes,health,care,pays,shop,#philly,#healthcare",can'tsay
" When it comes to health care, it pays to shop around  #healthcare http://t.co/REUdi4z6WU","comes,health,care,pays,shop,#healthcare",can'tsay
 When is it time to take away a loved one's car keys? A geriatric care manager can help you make the tough decisions. #eldercare,"time,loved,car,keys,geriatric,care,manager,help,tough,decisions,#eldercare",can'tsay
 When does a supplier become a strategic partner? @waynekoberstein has some thoughts http://t.co/Eur3FggPPl #pharma #biotech,"supplier,strategic,partner,#pharma,#biotech",can'tsay
" When #Patents, #Monopoly &amp; #Profits Trump Lives: The Outrageous Cost of a #Gene Test. #USpoli #healthcare... http://t.co/kZdx0bsBnO","#patents,#monopoly,#profits,trump,lives,outrageous,cost,#gene,test,#uspoli,#healthcare",can'tsay
 What's your best #glutenfree tip? #WednesdayWisdom #heretohelp,"#glutenfree,tip,#wednesdaywisdom,#heretohelp",can'tsay
 What's Your #Purpose? 10 Tips To Find Out Easily by @allielefevere http://t.co/7fLzTuywP4 via @MindBodyGreen #Chiropractic #liveoutloud,"#purpose,tips,easily,via,#chiropractic,#liveoutloud",can'tsay
 What's your #getfit plan for today? #beenergy,"#getfit,plan,#beenergy",can'tsay
 What's up the lighting in Doctors? Do the BBC just not give a shit about daytime teley? Most likely. Shite anyway. #doctors #is #shite,"lighting,doctors,bbc,shit,daytime,teley,shite,anyway,#doctors,#,#shite",can'tsay
 Whats up everybody ? Hope everyone have a good time along with family members and friends #ECDC,"whats,hope,time,family,friends,#ecdc",can'tsay
 What's the role of #epigenetics in health? MT @nihforfunding: New #NIH #Research Funding Op: http://t.co/GLQwqywt3V #genetics #genomics,"role,#epigenetics,health,mt,#nih,#research,funding,op,#genetics,#genomics",can'tsay
" What's the Hardest, most criticalquestion in #Healthcare? This&gt; http://t.co/ci0YOrcw8y #bigdata #medicine #usguys","hardest,criticalquestion,#healthcare,gt,#bigdata,#medicine,#usguys",can'tsay
 What's the big deal with big #data in #healthcare? http://t.co/9gIvYKgPFd,"deal,#data,#healthcare",can'tsay
 What's the Big Deal for Big Data in Smarter Care? #BigData #HealthCare #GovLoop http://t.co/GEWCOArk6Q,"deal,data,smarter,care,#bigdata,#healthcare,#govloop",can'tsay
 What's So Special about #Healthcare #Design? | BLiNK http://t.co/uP4rU1H2xZ #Architecture,"special,#healthcare,#design,blink,#architecture",can'tsay
" What's Next Health, a new @RWJF series, explores the future of health &amp; #healthcare http://t.co/BtHTddwREM via @pioneerrwjf #FutureMed","health,series,explores,future,health,#healthcare,via,#futuremed",can'tsay
" What's Next Health, a new @RWJF series, explores the future of health &amp; #healthcare http://t.co/5NPodaqq3x via @pioneerrwjf #FutureMed","health,series,explores,future,health,#healthcare,via,#futuremed",can'tsay
 Whatever you do don’t blink. #doctor #who #catcontent http://t.co/gHjmr8NvA6 place <tweepy.models.Place object at 0x01F336D0>,"whatever,don’,blink,#doctor,#,#catcontent",can'tsay
 What’s new in #healthliteracy research? Free access to Journal of #HealthCommunication articles http://t.co/xbgVzz6iB3,"’,#healthliteracy,research,free,access,journal,#healthcommunication,articles",can'tsay
 What’s missing from many #healthapps — medical expertise - http://t.co/h1S51ORaIY http://t.co/LacKQszwnj,"’,missing,#healthapps,—,medical,expertise",can'tsay
" What would we write in your yearbook?  Have a great summer, good luck in all future endeavors and it has been a pleasure to know you! #HHS","write,yearbook,summer,luck,future,endeavors,pleasure,#hhs",can'tsay
 What matters more? Crop yield? RT @OSIWA1: Could #African #crops be improved w/ private #biotech data? #foodsecurity http://t.co/O3o4wBnqZe,"matters,crop,yield,#african,#crops,improved,private,#biotech,data,#foodsecurity",can'tsay
 What makes our #interpreters the best? See for yourself. #healthcare http://t.co/WL6WI2qNlc,"makes,#interpreters,#healthcare",can'tsay
 What kind of policies will be offered? http://t.co/xbOH7iZnje #healthcare,"policies,offered,#healthcare",can'tsay
 What is your opinion on the biosimilars provision within ACA? Alan Eisenberg has one p. 8 #bio2013 http://t.co/DoWLdmFyrJ #pharma #biotech,"opinion,biosimilars,provision,aca,alan,eisenberg,#bio2013,#pharma,#biotech",can'tsay
 What is Cold Laser Therapy? #chiropractor #chiropractic #physical therapy #physio #Veterinary #biotech http://t.co/A6rRvNL6OP,"cold,laser,therapy,#chiropractor,#chiropractic,#physical,therapy,#physio,#veterinary,#biotech",can'tsay
 What is a Dental Assistant? - Job Description - #healthcare #nurses #jobs http://t.co/4gotH9GnaQ,"dental,assistant,job,description,#healthcare,#nurses,#jobs",can'tsay
" What is a #biomarker? And why you should care. http://t.co/eJi7d91ilJ @mayoclinic, @Cancer_Genetics launch #oncospire #genomics","#biomarker,care,genetics,launch,#oncospire,#genomics",can'tsay
" What is \chiropractic is...\""? http://t.co/ZeGHBMY1Rx #chiropractic""","chiropractic,#chiropractic",can'tsay
 What goes into a #healthcare #exchange? Our latest slideshow lists eight crucial components: http://t.co/BpzeQqWbmB #PPACA,"goes,#healthcare,#exchange,slideshow,lists,eight,crucial,components,#ppaca",can'tsay
" What fits your busy schedule better?  Exercising one hour a day, or being dead 24 hours a day? #nxfit #fitness #getfit","fits,busy,schedule,exercising,hour,day,dead,hours,day,#nxfit,#fitness,#getfit",can'tsay
 What else? How about a new pacemaker? http://t.co/4iLFBLVnyA #onlychildsjourney #pacemaker #cardiology #pancreaticcancer #caregiver,"else,pacemaker,#onlychildsjourney,#pacemaker,#cardiology,#pancreaticcancer,#caregiver",can'tsay
 What else?  How about a new pacemaker? http://t.co/CsgXIc0jMt via @BeckyJMonroe #caregiver #Healthcare #diabetes #pacemaker,"else,pacemaker,via,#caregiver,#healthcare,#diabetes,#pacemaker",can'tsay
 What else are our clinicians and researchers doing to improve hearing and communication? http://t.co/3UOFDw4Hmn #BHSM,"else,clinicians,researchers,improve,hearing,communication,#bhsm",can'tsay
 What does @DrWayneWDyer &amp; @perfectgenediet have in common? http://t.co/cvcnG95oal #leukemia #genetics #integrativemedicine,"common,#leukemia,#genetics,#integrativemedicine",can'tsay
 What do we mean when we talk about '#patient engagement'? http://t.co/DH70RDmHEB | VentureBeat #hcsmeu,"mean,talk,#patient,engagement,venturebeat,#hcsmeu",can'tsay
 What do we do now that the Gov. lied to our face? More to come tomorrow about our meeting with Perry. #healthcare,"gov,lied,tomorrow,meeting,perry,#healthcare",can'tsay
 What are you doing to support your #fertility? Join us at #FP13NY at @NYULMC in September!,"support,#fertility,join,#fp13ny,september",can'tsay
 What are the various #FDA pilot programs and initiatives for implementation of #QbD? http://t.co/MnkbHqWFXo #DIA2013 quality by design,"various,#fda,pilot,programs,initiatives,implementation,#qbd,#dia2013,quality,design",can'tsay
 What are the next big opportunities in health tech? http://t.co/6NbHuy4VY3 #health20,"opportunities,health,tech,#health20",can'tsay
