tweets,
" Visited our sick baby belay... Get well soon ???? #sick #patient #goddaughter #baby #girl #hospital… http://t.co/OjN0ZCPGyd coordinates {u'type': u'Point', u'coordinates': [121.04342043, 14.41350927]}",can'tsay
 Valeant Pharmaceuticals receives Complete Response Letter from FDA for efinaconazole NDA http://t.co/RYIPnMZXcb #footcare #podiatry,can'tsay
 Valeant Pharmaceuticals receives Complete Response Letter from FDA for efinaconazole NDA http://t.co/KtnZwLNfhi #footcare #podiatry,can'tsay
 Vaccines are threatening the health and genetic integrity of the human race. http://t.co/HC1yksJuIb #health #holistichealth #vaccines,can'tsay
 Using avatars to improve physical therapy adherence | MedCity News - http://t.co/T1uLUU8q4l #physicaltherapy,can'tsay
 Using a foam roller is that it is a relatively inexpensive way to treat injury on your own: http://t.co/kR9HrQh9Dy #PhysicalTherapy,can'tsay
 US student builds questionnaire app frm Kibera survey #Pharmacy #Kenya http://t.co/mxgKA9Xh0l http://t.co/eZdLAyJrOG,can'tsay
 ULTRASOUND Powerpoint Presentations - http://t.co/gItdeRKmll  #ULTRASOUND,can'tsay
 U step out on occasion &amp; always smh the few decent women always choose 2 b wit a lame or a monsterous lookin kat#rn$,can'tsay
" TY for the follow, @DwayneSpradlin Aware of #modelH yet? Join us as we create a business model canvas for US healthcare. @modelHForum",can'tsay
 Turning 18 is the worst thing that's ever happened to me.. #NeedHelp #Therapy..,can'tsay
 Tuesday is #WorldHungerDay! Take action with RESULTS to improve child #nutrition http://t.co/SknLq42BfO #Nutrition4Growth,can'tsay
" Trinidad, Rubia, Rafanan, Limson #thebigfour #psychology #professor #terror #scho coordinates {u'type': u'Point', u'coordinates': [121.1016905, 14.2690623]}",can'tsay
 Tous les jours dans le BINKS artwork by #virgildesign  #Kaaris #therapy http://t.co/3sY7SkaXcB,can'tsay
 Tonight's work went really well. £100 down on clothes. #therapy,can'tsay
 tomorrow's going to be awesome! #seniors,can'tsay
 Today will ESPECIALLY be about pancakes and other food-related issues! #RaganSocial,can'tsay
 Today is World #Thyroid Day!! This is an issue which is personal for me! 2 years ago I was diagnosed… http://t.co/O5pgDgNrdi,can'tsay
 Today I get my #Arm checked via #Ultrasound &amp; I'm nervous...,can'tsay
 Tmlt Probably because all the smart kids/kid who make the study guides are exempt and all the others ones just don't care #Seniors,can'tsay
 Tips to beef up the web presence of your #PhysicalTherapy practice: http://t.co/p63Y7n0VPo,can'tsay
 TIP: remove all forms of #wheat bran from your diet to enable your digestive system to function properly #nutrition:  http://t.co/L03oJuNXk2,can'tsay
 throwback to my bestfriends first ultrasound #bff #baby #bump #child #kid #boy #ultrasound #cantwait… http://t.co/wWZpxmQ6dA,can'tsay
 Throw what you know #sororityswag #dphie #aoe #seniors #sportsweekend @koharb http://t.co/Udrzb9oh0G,can'tsay
" Thousands walk, run final mile of Boston Marathon: Rosy Spraker was only a half-mile from the finish ... http://t.co/vOB85X2E5y #seniors",can'tsay
 Thoughts on growth factor 9? Supplement to naturally promote human growth hormone #supplements #nutrition,can'tsay
 Those legs came from dad(: #ultrasound #17weeks #baby #longasslegs #justlikedaddy http://t.co/1wsvYPurEa,can'tsay
 This w/e Kellen Surette is undergoing a #stemcell transplant. He's from #GlaceBay. He's Thing 2's age. http://t.co/WvldCQ5yLM #GrowCellsGrow,can'tsay
" This school-sleep schedule has really fucked with my system, it feels like 1PM right now. #psych",can'tsay
 This is a new NEQAS Directive sent 2 all #NHS Path Labs about failing Vit B12 Serum test &amp; giving urgent guidance.  http://t.co/lvwbpM2i3F …,can'tsay
 This guys been turning left for the past 5km #worstcliche #seniors http://t.co/Rte6AD8F2d,can'tsay
 This guys been turning left for the past 5km #worstcliche #seniors http://t.co/ei8enA8YPw,can'tsay
 This #MeatlessMonday: Brownie Pumpkin Pie http://t.co/DQDX07vm87,can'tsay
 These butterfly's in my stomach are getting the best of me! #nervous #graduation #2013 #senior,can'tsay
 Therapeutic gun cleaning session that was much needed #gun #cleaning #smith&amp;wesson #22 #therapy… http://t.co/QHdE00VMIi,can'tsay
" The upper right area of my stomach is agony and my stomach feels extremely warm. Can someone with medical knowledge please help #nhs #ill place <tweepy.models.Place object at 0x01D742D0> coordinates {u'type': u'Point', u'coordinates': [-4.16034976, 55.76832962]}",can'tsay
 The supportive cells of the nervous system that guide growth of new neurons are known as _____. http://t.co/3rodD5Fk3p #neuroscience,can'tsay
 The sister I've never had?? #seniors #loveher http://t.co/kiWL9I0Y1F,can'tsay
" The rumored dazed and confused sequel is either going to be epic or awful. And the movie is a classic, I'm nervous to say the lease #seniors",can'tsay
 The role of plasma Epstein-Barr virus DNA in the management of recurrent nasopharyngeal carcinoma: T... http://t.co/oniSpRyOz1 #oncology,can'tsay
" The OMPT Daily is out! Top posts from Perry Nickelston, Ben Fung, Physio Blogger and more! #physicaltherapy http://t.co/a7YMqbPKdd",can'tsay
 The moment you watch someone stand up on their own who hasn't walked in 3 months. #physicaltherapy,can'tsay
" The moment u see two human beings, walking together in the hospital,same gender, wearing black suite.. typical #pharmaceutical Geeks",can'tsay
" The moment my legs begin to move, my thoughts begin to flow. ~ Henry David Thoreau #Walking #Therapy #Healing #PTSD",can'tsay
 The less traumatic the #birth - the healthier the baby both physically &amp; mentally #nutrition #hypnotherapy #yoga: http://t.co/wDtxy5uHx5,can'tsay
 The lack of adequate #translation shown to be a factor in maternity deaths:  http://t.co/xiH3Zm9AGG #t9n #medical #interpretation,can'tsay
" The first toothpaste ever made was a mixture of wine and pumice! It was made almost 5,000 years ago in Egypt. #fact #teeth #learnmore!",can'tsay
 The ESC #LHIN Open Board Meeting will begin in 15 minutes. You can join via webcast here: http://t.co/5ZOk8ET9w1 #ONHEALTH,can'tsay
" The 30 occupations with the largest projected employment growth in the US, 2010-2020, include #nurses and #physicians http://t.co/1OLeqaOADF",can'tsay
 That's why I LOVE the soft sciences #Philosophy #History #Psychology because you don't have 2 talk about the past you just create a future,can'tsay
 Thanks Pearl #Seniors c/o 2014 http://t.co/yI3wgMp7wY,can'tsay
 Thanks for all the great questions #UCLAMDChat,can'tsay
 Thank you very much Amarillo Bulls! I'll be at your open camp in July giving chair massages!!  #NAHL #Massagetherapy,can'tsay
" Team meeting, phonecalls, OCAIRS, phonecalls, sensory screen, phone calls, telecare, phone calls, you get the picture #OTuesday",can'tsay
" Team Manager - Asylum Seeking    - Kent - Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/M9ygMaflRh",can'tsay
 Talk about a superfood: these foods will help you burn fat AND boost your immune system! #nutrition http://t.co/OR8jLQBhaS,can'tsay
" Takes true professionals to treat those evil men in hospital, they are not worthy of any care. hope they rot in hell #NHS #helpforheroes",can'tsay
 Take a look at 'Tackling human &amp; organisational factors: the human contribution' in our new #ptsafety resource centre http://t.co/BKFywPmNI1,can'tsay
 Sweating as part of #exercise release toxins such as pesticides from our cells. Read more #health #nutrition - http://t.co/SxZRAgLosY,can'tsay
 Surprised Wade didn't cry after that shot. He's been a baby the rest of the game #whystopnow,can'tsay
 Surgeons fear online performance data will damage reputations http://t.co/Rhn6IQHo2C via @guardian #Health #NHS http://t.co/FPW2GTSAKb,can'tsay
 Study: Role of family #caregivers expanding to include complex medical/nursing tasks #longtermcare http://t.co/ftM6xq2Ncm,can'tsay
 Study: Role of family #caregivers expanding to include complex medical/nursing tasks #longtermcare http://t.co/7YNuiC5YaS,can'tsay
 Study: kids who walk in street and talk on phone risk vehicular injury: http://t.co/lfaxG3Sosf #parenting #psychology,can'tsay
 strattera #Pills #pharmacy #health http://t.co/TC8lAp8Z3f,can'tsay
 Story in New York Times on how #nutrition has been bred out of our #food http://t.co/43W9UqyyNX #health #science,can'tsay
 Started taking #Synthroid for #thyroid problems 2 months ago; have lost enough hair since to have a bald spot! Any help or suggestions?,can'tsay
 Squad got awarded a nursing coin for putting in work on the floors ?????? #nursing #army… http://t.co/JXlAKaUBW0,can'tsay
 Spending time in #NHS care has re-kindled my faith in human nature. Such kindness very moving...,can'tsay
 Someone had fun creating this message for our broken tube system. #Hospitals #Nurse #Nightshift http://t.co/zf0ih3WCmd,can'tsay
 so here he or she is #babybaird #mybeautifulbaby #ultrasound #adorable http://t.co/UxMndbUKvq,can'tsay
 So excited for the next couple weeks ahead #seniors,can'tsay
 SNK e-letter quotes: Sebelius: Nurses' \contributions at the heart of our health care system,can'tsay
 Sleep is for people who revisited weeks before the exam...not me #sleepdeprivation,can'tsay
 Skin care time :) #instamakeup #Instabeauty #Instaciao #biogram #instagood #skincare #skincaretime… http://t.co/rXfvaWA03g,can'tsay
 Sister's graduation!! #bored #burninghot #CSULB #nursing #49ers http://t.co/h52KsYhn4y,can'tsay
 Sign up to receive free weekly newsletters about #OccupationalTherapy: http://t.co/Df8njPvwVO #OTpeeps,can'tsay
" Sigh, no time soon for me. Bedside ultrasound tips for the general internist http://t.co/FFcov3AwCh via @kevinmd #mdchat",can'tsay
 Shona is the cutest :) #baby #smiling #happy #teeth http://t.co/rHRB8WYlqr,can'tsay
 She's starting to believe. Knowledge is power.  The Word has the answers. Jesus promised He'd take care of me. #physicaltherapy,can'tsay
" sharing #suaju This Week in PLOS Medicine: Integrating Mental Health &amp; HIV Care, Colon ... - PLoS Bl.. #medicine http://t.co/IETnavr0vt",can'tsay
 sharing #suaju LoveWay seeking volunteers to learn horse therapy program - 0 Minutes Ago - Goshen News #therapy http://t.co/p4G4l0C4Y0,can'tsay
" sharing #suaju Hotel Xixim Offers \Karma Kids\"" Yoga Class in Summer Family Package - PR Web (pr.. #therapy #yoga http://t.co/tWqSVpP1UL""",can'tsay
 Sex and the City 2 + pizza #therapy #perfectday,can'tsay
 Senior sports banquet! #mommy #daddy #love #dressy #senior #2013 http://t.co/PVJjsv27Sp,can'tsay
 Senior shirt is officially complete! ?? #senior #2014 #complete http://t.co/SSx1eFr4QY,can'tsay
 Senior Pics!!!! Both are professionally taken. #Seniors #Pictures #Professional #Matching… http://t.co/uvYufbsmmZ,can'tsay
 Seeing and holding my cousins baby makes me want baby Bryson Lee Breese here in my arms so badly! #Just a couple more weeks #patients,can'tsay
 SCP surgery preserves vaginal depth #UCLAMDChat,can'tsay
 Schools Finna go cray cray in a few minutes #seniors,can'tsay
" Say hello world, little love on top! #instababy #ultrasound http://t.co/Dl6dSn8wx1",can'tsay
 Say cheese! The calcium and phosphorous found in cheese is healthy for your #teeth – it reduces the pH level in plaque and...,can'tsay
 Salamanders' ability to regrow limbs tied to #immune system http://t.co/3vh6kKacUN #regenerative #medicine,can'tsay
 Ryan did not want her to see his teeth.  #baby #nephew #love #teeth #kira #ryan #baby #shopping… http://t.co/VqBPfNhnxz,can'tsay
" RT@AAPAorg I was born to be a #PhysicianAssistant! We have PA DNA, hardwired to care for patients. Will that quote ensure admission for me?",can'tsay
" RT @willsmythemd: \The Decline and Fall of American Medical Authority\"" http://t.co/Sl44LkAzgh #health #medicine #patientslikeme""",can'tsay
 RT @whitneybroooke: Can't wait to see my witttle baby on the 3rd! ?** #ultrasound http://t.co/AzMC4MgvJk http://t.co/GqcpLFszJv,can'tsay
 RT @whitneybroooke: Can't wait to see my witttle baby on the 3rd! ?** #ultrasound http://t.co/AzMC4MgvJk,can'tsay
 RT @SeggiBev iPhone App Aids Training in Bedside Ultrasound Exams | #mHealth @scoopit http://t.co/hxRHOgy3pQ,can'tsay
 RT @Master_Rupe: Fuck her!....#psych,can'tsay
" RT @life_psych: \You are fired. For what case? All\"" #Psych \""Rob a Bye Baby\""""",can'tsay
" RT @lesmil1 Wow, this is cool: Doctors use #3Dprinter to custom-design implant for baby http://t.co/7xEIJGKnSVRT @USATODAYhealth #medical",can'tsay
 RT @Insuremekevin: Sky high #Medicare provider charges illustrate broken health insurance market - http://t.co/TPCZzR75wI,can'tsay
 RT @Healthy_Bodyz: Immune Protect with Paractin - Clinically Shown to Boost the Immune System http://t.co/iwxVvhFBbx #nutrition,can'tsay
 RT @graemeanderton 1 in 5 people wait over a year to receive talk therapy #doncasterisgreat #mentalhealth #southyorkshire ...,can'tsay
 RT @fotoinc: Last in the series on shoulder #PToutcomes. Processes w/i the system important: http://t.co/zPbkvte6zJ,can'tsay
 RT @entradahealth: Secure Text Messaging Can Cut Hospital Discharge Times by 50 Minutes http://t.co/qeL7Em4ZJR #HIT #mHealth,can'tsay
 RT @dtodo1paco: A 'learning health system'  http://t.co/JeMTTIJ2XC #eHealth #ai #medical #intelligent #system #telemedicina20uoc,can'tsay
 RT @DennysDiner All you need to do is be the first to respond correctly! #RaganSocial,can'tsay
" RT @alexrogers46: \Trisha your fingers are like magical baby wieners\"" ** #psych""",can'tsay
" Right!  RT @cwilsonwellness: The intersection of mental health and public health = health, safety, wellness #sdoh #hcsmct",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/yIcKBexLae #skincare #facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/POSc5cLKid #skincare #facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/leOedoHN6j #skincare #facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/Hw1FuQ94x6 #skincare #facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/5utHPA1CkN #skincare #facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/2zS835J5xZ #skincare #facialbrush",can'tsay
 ReNeuron Rises Most in 3 Months on Interim Stroke Data http://t.co/b7uzsehLr7 via @BloombergNews #stemcell,can'tsay
" REMINDER: 6 days left, get 20% discount CEU use code BHSM2013 in the voucher field http://t.co/qsY1iytLA5 #SLPeeps #OTpeeps #physicaltherapy",can'tsay
" Registered Nurse Cath Lab - Baylor Health Care System: ( #GRAPEVINE , TX) http://t.co/sxwt0gmSUf #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4510> coordinates {u'type': u'Point', u'coordinates': [-97.0780654, 32.9342919]}",can'tsay
" Registered Nurse Cath Lab - Baylor Health Care System: ( #GRAPEVINE , TX) http://t.co/icZfMRqjog #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x0256FDB0> coordinates {u'type': u'Point', u'coordinates': [-97.0780654, 32.9342919]}",can'tsay
" Registered Nurse - Niagara Health System: ( #OntarioJobs, ON) http://t.co/Nmdev0i7bq #Nursing #nhscareers #Job #Jobs #TweetMyJobs",can'tsay
" Registered Nurse - Niagara Health System: ( #OntarioJobs, ON) http://t.co/A6IPU650sr #Nursing #nhscareers #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB42D0> coordinates {u'type': u'Point', u'coordinates': [-85.3232139, 51.253775]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #MCKINNEY , TX) http://t.co/vivM2ul1gw #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB43B0> coordinates {u'type': u'Point', u'coordinates': [-96.6397822, 33.1972465]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #IRVING , TX) http://t.co/cOSz42oIyG #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x0256FE10> coordinates {u'type': u'Point', u'coordinates': [-96.9488945, 32.8140177]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #GRAPEVINE , TX) http://t.co/vz848B5pGd #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4310> coordinates {u'type': u'Point', u'coordinates': [-97.0780654, 32.9342919]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #FTWORTH , TX) http://t.co/RbXoVyZuLg #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x029816B0> coordinates {u'type': u'Point', u'coordinates': [-97.3208496, 32.725409]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #FTWORTH , TX) http://t.co/77YXeBY6QO #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x027916F0> coordinates {u'type': u'Point', u'coordinates': [-97.3208496, 32.725409]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #CARROLLTON , TX) http://t.co/eE44xI2MWV #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4270> coordinates {u'type': u'Point', u'coordinates': [-96.8899636, 32.9756415]}",can'tsay
" Registered Nurse - Baylor Health Care System: ( #CARROLLTON , TX) http://t.co/6w0QOqQVh3 #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EE4310> coordinates {u'type': u'Point', u'coordinates': [-96.8899636, 32.9756415]}",can'tsay
 Recently my dreams have been so weird I believe they would disturb people maybe I Gould go talk to someone about it #psychiatrist,can'tsay
 really enjoying this #psych sode from 2 weeks ago since i guess @usa_network is totally over putting them on demand the day after.,can'tsay
 Real gay man name dropping to me on the train Zzzzzz... Apparently he's dressing Beyonce next week and is good friends with Cavalli #Mhm,can'tsay
 Ready for Disneyland say whaaaaat?! #seniors #gradnite http://t.co/oEgzABhw2Q,can'tsay
" Reading a paper about diabetes. It's long, but at least it's easier to read than the Growth Hormone one. #MedStudent #MedTest",can'tsay
" Quote of the day: Once you cut up a dead person with someone, there's a bond that can't be broken. #medschool #friends @ColleenyWeeny8",can'tsay
" Qualified Social Worker-Hospital Discharge -Southampton-Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/dPnRvWFS2e",can'tsay
" QC's #pharma system combines private and public insurance &amp; means that the burden of \higher risk\"" ppl is put on public system #Pcare2013""",can'tsay
 Proven #results &amp; satisfied #customers. #Skindulgence 30 Minute Non-Surgical #Facelift Results shown here http://t.co/u5Z7kR1Pkx #Skincare,can'tsay
 proscar  #Pills #pharmacy #health http://t.co/KRwHj0ezt6,can'tsay
 Prom night brothas #primenut #seniors @bromero20 http://t.co/Imxx4XrsT0,can'tsay
 Profession: #physician Specialty: Orthopedic Surgery Region: Southwest State: Oklahoma Contract Number:... http://t.co/A44fJ5i8C7 #job,can'tsay
" Praying my clinical exam briefing tomorrow will relate to a book I have! C'mon Bowen, Dodd, Paul or Grunwell, do me proud! #slt2b #slpeeps",can'tsay
 ppt on human respiratory system for xth class PPT Templates - http://t.co/RlCbFhfnIG  #ppt #on #human #respiratory #system #for #xth #class,can'tsay
" Polish Man Who Lost Face Gives Thumbs Up To Successful, Life-Saving Emergency Face Transplant http://t.co/IFpWuaNrPA #health #medical",can'tsay
" Polish Man Who Lost Face Gives Thumbs Up To Successful, Life-Saving Emergency Face Transplant http://t.co/FIXm1YpjF5 #health #medical",can'tsay
" Polish Man Who Lost Face Gives Thumbs Up To Successful, Life-Saving Emergency Face Transplant http://t.co/E5SEAJhgrD #health #medical",can'tsay
 Polish man gets quick face transplant in what doctors say was life-saving decision http://t.co/QVMzcuftCH #plasticsurgery,can'tsay
 Polish man gets quick face transplant after injury http://t.co/Azrr1GMkSf #plasticsurgery,can'tsay
" Plz RT This w/e Kellen Surette is undergoing a #stemcell transplant. He's 7 &amp; from #GlaceBay, NS. http://t.co/qzqjCwWkuc  #aRTwouldROCK",can'tsay
 Plank of shots #repost #seniors #sportsweekend #armenians #canadatzeeboys #latergram #shots #love… http://t.co/D3ojL82eXL,can'tsay
 Physical Therapy Massages heal more than just muscles. Book online today: http://t.co/8HuD9tjUwg #sf #physicaltherapy #rehab #injury #sports,can'tsay
 Photo: Up early #rehab wit @iamdiddy &amp; @realdjwhookid at least the music will be good. http://t.co/969rQ6n0o2,can'tsay
 Photo: So its a boy! #Baby#son#father#padre#dad#ultrasound#birth#hospital#Romeo#Jayden#Ambrosio http://t.co/3UsuDiJSrc,can'tsay
 Photo: Me and @finer__things today at adventure landing #Senior #Activity #Adventure #Landing #Cute #Braves... http://t.co/A55w5T4YDh,can'tsay
" Perform a Set of Tasks, Wait 2 Weeks and Post-Test Your Mental Performance http://t.co/B99QimVOgF #nutrition",can'tsay
" Perform a Set of Tasks, Wait 2 Weeks and Post-Test Your Mental Performance http://t.co/B99QimVOgF #nutrition",can'tsay
" Perform a Set of Tasks, Wait 2 Weeks and Post-Test Your Mental Performance http://t.co/agUhKlLMWN #nutrition",can'tsay
 Patients can teach us so much. Here are 4 life lessons: http://t.co/AjGuiUlB9e #RespiratoryTherapy #OccupationalTherapy,can'tsay
 Patients are happier when #healthcare professionals are happier http://t.co/71a1xymVzl #PhysicalTherapy #OTpeeps,can'tsay
" Paediatric Occupational Therapist-Shropshire-Shropshire-Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/XSwQz8Sz2A",can'tsay
 P.S. This #Psych exclusive clip has the line \your fingers are like magical baby wieners,can'tsay
 Out-of-hours talks could begin within weeks  --&gt; surprise for those who thought @Jeremy_Hunt was not serious #nhs http://t.co/01jl5dADkg,can'tsay
" Our wireless personal emergency response system enables users to get help, fast! http://t.co/va5vFZyFcg | #telehealth #mhealth",can'tsay
 Our nutritional needs are species wide &amp; species specific. The human genome is the human genome. That’s our blueprint. #paleo #nutrition,can'tsay
 Our baby in 3D :) #loveatfirstsight #3D #ultrasound #baby #beautiful #boyorgirl #cantwait http://t.co/fggtcG3cbi,can'tsay
 Our #maternalhealth project in Kenya is training CHWs but also improving linkages with primary care system #1MCHWs #COTR_Intl,can'tsay
" Orientation was great, can't wait to volunteer #physicaltherapy",can'tsay
 Organ Donor Law May Keep Sarah Murnaghan From Getting The Life-Saving Lung Transplant She Needs http://t.co/wD8M9W7KoK #health #medical,can'tsay
 One more year. #senior #Classof2014 http://t.co/fzj2V5q9To,can'tsay
 One Four #seniors,can'tsay
 On route to the Emerald Isle today to interview #Procurement specialists for a #Pharma Client setting up a new office in #Dublin #li,can'tsay
 On our way to fucc up #REHAB mrxpensivecrip &amp; @mrxpensivecrip http://t.co/ONJQBRsYgB,can'tsay
" On May 29, if you’re in L.A., turn to #Univision at 6 am for #marfan information featuring Dr. Bowen from #MayoClinic  #2013marfanconf",can'tsay
" Occupational Therapist, London - London and the east - SJB Medical #occupationaltherapy, #physicaltherapy http://t.co/V4NVQ04BHy",can'tsay
 Obvious why gov wld not publish risk report before bill ratified - the #nhs bill wld have been thrown out - one wld hope! #USAherewecome,can'tsay
 NW Line - What to expect during a #ultrasound in the last weeks of #pregnancy http://t.co/1YThenM5WE,can'tsay
 Nursing Jobs: RN - Professional Development Coordinator - CPPD Job: Professional Development/Fund... http://t.co/exyKZxP9oh #nurse #jobs,can'tsay
" Nurse Practitioner - Baylor Health Care System: ( #DALLAS , TX) http://t.co/Ujq8Rwll56 #Nursing #Job #Jobs #TweetMyJobs place <tweepy.models.Place object at 0x01EB4350> coordinates {u'type': u'Point', u'coordinates': [-96.769923, 32.802955]}",can'tsay
 Number of people seeking emergency treatment after consuming energy drinks had doubled compared to 4 years ago #thyroid,can'tsay
 Now my muscles are burning #physicaltherapy lol,can'tsay
 NOVA Medical Centers Offering New Industrial Medicine Services - PR Web (press release) http://t.co/uqn37CMLBG #medical #drug,can'tsay
" Nothing like ice and a little #electroshock to get your weekend going. #physicaltherapy #neverstop… http://t.co/xoeie91mcf place <tweepy.models.Place object at 0x027918D0> coordinates {u'type': u'Point', u'coordinates': [-115.1097304, 35.99839296]}",can'tsay
 Not only were systems incompatible Microsoft warned them not to buy system as suppliers backup system was incompatible with exchange. #nhs,can'tsay
 Nonsurgical treatments of POP include: Pelvic Floor Exercises/ #Kegels or Pessary http://t.co/r79WspyNml #UCLAMDChat,can'tsay
 Nice 'N Easy http://t.co/RRCeHHuwfG  #mentalhealth,can'tsay
