,tweets,words,
944," Don't worry Grandma, it's medical",worry grandma medical,can'tsay
949," I posted 14 photos on Facebook in the album \Welcome to Carpet Doctor\"" http://t.co/iwZ2k639w2""",posted photos facebook album welcome carpet doctor,can'tsay
956, Dreading Saturday just because Doctor Who,dreading saturday doctor,can'tsay
981, Call from my Doctor. Guess who has adult onset diabetes? THIS GUY! XD,call doctor guess adult onset diabetes guy xd,can'tsay
983, @niques_skylah lolll yeh I gern hospital right nah cuz uu jus burst me in my head with that bottle,lolll yeh gern hospital nah cuz uu jus burst head bottle,can'tsay
991, Thanks I have been needing a non hater and even with my sister going to the hospital :( (@YouTube http://t.co/sdI8RRNzyT),thanks hater sister hospital,can'tsay
1001, Somebody bring me lunch to the j.o.b I was in the hospital all morning!!!,bring lunch job hospital morning,can'tsay
1007, watching doctor who without @fantasticpeanut feels weird and i had no one to sing the theme tune with :(,watching doctor feels weird sing theme tune,can'tsay
1009, @Miss604 Check out Medeo.ca the next time you want to connect with a doctor!,check medeoca time connect doctor,can'tsay
1012," My doctor told me to take this medication, but then while I was taking it he told me the amount I was taking could kill me.. #cool",doctor told medication taking told amount taking kill #cool,can'tsay
1024," Whilst everybody is talking football on my timeline, I'm just sitting on the train thinking about Doctor Who.",whilst talking football timeline sitting train thinking doctor,can'tsay
1026, @bethgsings Have to give everyone in the medical profession credit for what you do and see. My stomach rolls at everything but plain blood.,medical profession credit stomach rolls plain blood,can'tsay
1043, Just had the sweetest little doctor at the #USC #EngemannHealthCenter,sweetest little doctor #usc #engemannhealthcenter,can'tsay
1044, A doctor and a boor know more than a doctor alone. - German Proverb,doctor boor doctor german proverb,can'tsay
1050, I'm watching Doctor Who (2026 are watching) http://t.co/sFcJggZ6YW #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
1054," doctor's appointment, having a blast",doctors appointment blast,can'tsay
1077," By \classic doctor who\"" I mean 60's doctor who""",classic doctor mean doctor,can'tsay
1080, Are we goin to the doctor today @MeSharebear,goin doctor,can'tsay
1091, @ClarksonUniv recognizes Dr. Wanda Austin with honorary doctor of #science degree during 120th #Commencement. http://t.co/lLGvd2BdXe,recognizes dr wanda austin honorary doctor #science degree #commencement,can'tsay
1096, And Doctor Whooves from the other side. Even in pony form Tennant is photogenic. #MLP #MyLittlePony #DoctorWhooves http://t.co/uU3gM4gdVU,doctor whooves pony form tennant photogenic #mlp #mylittlepony #doctorwhooves,can'tsay
1098, @ab0vethelawwww i can't i gotta go to the hospital,ca gotta hospital,can'tsay
1101, @swimming_POOLE_ the doctor thinks I have 'testicular cancer' so they're honna x-ray it today and see if it is,doctor testicular cancer honna xray,can'tsay
1112, My papa is talking about sneaking beer into the hospital for my dad #classic,papa talking sneaking beer hospital dad #classic,can'tsay
1117, Doctor's office. #halp,doctors office #halp,can'tsay
1119, @JoeFogz @aloria92 lmao you should probably see a doctor,lmao probably doctor,can'tsay
1124, what if someone made a floating head icon of doctor oz I,floating head icon doctor oz,can'tsay
1127, @NicoleeReyna hes still in the hospital,hes hospital,can'tsay
1143, The last place I want to be is the hospital?,hospital,can'tsay
1157, Medical Valentine's Wish: You gave me Ventricular Contractions!,medical valentines wish ventricular contractions,can'tsay
1158, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
1173," @ActuallyAmLewis deary me, I honestly thought the doctor pepper one was something you'd say. Apologies",deary honestly doctor pepper youd apologies,can'tsay
1184, Doctor then hair cut then Pinkerton anyone?,doctor hair cut pinkerton,can'tsay
1195," I'm calling publicity stunt on this supposed Doctor Who leak, there's no way it wouldn't be online by now!",calling publicity stunt supposed doctor leak theres online,can'tsay
1206, Sometimes I look at my friends and think you all should be in a mental hospital!!=)),sometimes look friends mental hospital,can'tsay
1217," Am fine my sweet doctor,No ma \@Mctrendy01: How are you sir??? R u bck on bbm?RT @Faypumping: So so tired ryte now!\""""",fine sweet doctorno ma sir bck bbmrt tired ryte,can'tsay
1227, What's with the team doctor running on with the physio #city,whats team doctor running physio #city,can'tsay
1237, @jwhelton Brings a whole new meaning to the medical term: window of death.,brings meaning medical term window death,can'tsay
1240, Someday someones going to video tape me while I'm home alone... Hellllloooo fellow mental hospital patients!!!!,someday someones video tape home hellllloooo fellow mental hospital patients,can'tsay
1243, Well my dad is trying to steal the show from Maggie. Cancelled her appt and now behind the ambulance taking dad to Summit Hospital.,dad trying steal maggie cancelled appt ambulance taking dad summit hospital,can'tsay
1247, Let me take a nap before I go to the hospital,nap hospital,can'tsay
1250, @JustinTuckNYG91 SFC degree of Doctor of Humane Letters http://t.co/aG2gudM8T1,sfc degree doctor humane letters,can'tsay
1263," Parents sue SC, hospital over child's sex surgery http://t.co/r1srImxfVS",parents sue sc hospital childs sex surgery,can'tsay
1279, anne frank and doctor who kid are suspish,anne frank doctor kid suspish,can'tsay
1293, My doctor told me squirting involves some urine . I asked *shrugs*,doctor told squirting involves urine shrugs,can'tsay
1310," Hey look, someone with a bigger chin than the Doctor \@bbcdoctorwho: New gallery...http://t.co/FrgZobFqmQ http://t.co/yJTjrPEG25\""""",hey look bigger chin doctor galleryhttptcofrgzobfqmq,can'tsay
1321, Leaving school to go to the hospital. Greaaaat.,leaving school hospital greaaaat,can'tsay
1328," doctor's office women's bathroom key-ring: joke, or hilarious coincidence? http://t.co/WIcKrOW3yv",doctors office womens bathroom keyring joke hilarious coincidence,can'tsay
1339, Please reblog if you really don’t want to know the Doctor’s name. I want to make sure I’m not the only one. http://t.co/id3GnaFhRt,please reblog don’ doctor’ name ’,can'tsay
1359," Being at the hospital has shown me that too many things that should not touch unsanitized things, definitely touch unsanitized things",hospital shown touch unsanitized definitely touch unsanitized,can'tsay
1362, Vakwetu this girl and the witch doctor story lmao... Navo ovehole uulodi nkwetu...,vakwetu girl witch doctor story lmao navo ovehole uulodi nkwetu,can'tsay
1364, This planets just an over populated mental hospital.,planets populated mental hospital,can'tsay
1370," Medical equipment in films only really work if you have someone close by going \ come on \""""",medical equipment films close,can'tsay
1373, Five Ways to Get Medical Claims Paid at Your Practice http://t.co/MVEwgqgfN8 #medicalbilling #medicalcoding,five medical claims paid practice #medicalbilling #medicalcoding,can'tsay
1374, How to Know the Common #Hospital #Billing Errors http://t.co/2DTVs0h9Ty,common #hospital #billing errors,can'tsay
1386, Gotta bring her back to the doctor next week,gotta bring doctor week,can'tsay
1405, Holy shit. That was the turret thing I've ever heard. And you're supposed to ne a doctor. #really,holy shit turret heard supposed ne doctor #,can'tsay
1406, Medical treatment for brittle bones - http://t.co/OmQTYTA9VO,medical treatment brittle bones,can'tsay
1425, Eye doctor:do you currently smoke or drink? Me:smoke what?,eye doctordo currently smoke drink mesmoke,can'tsay
1437, So apparently Hugh Grant and Rowan Atkinson were originally considered for the role of the Doctor omg,apparently hugh grant rowan atkinson originally considered role doctor omg,can'tsay
1445, I'm watching Doctor Who (2019 are watching) http://t.co/xLeUt0QVGl #GetGlue @bbcdoctorwho,watching doctor watching #getglue,can'tsay
1463," @xhoneybee she interviewed me over the phone, wants me to come in later this week. But I'm trying to get a job at an animal hospital.",interviewed phone week trying job animal hospital,can'tsay
1466, Met a man today at the Hospital I work at. He blessed me with his testimony. Gave me strength to go on?,met hospital blessed testimony strength,can'tsay
1468, Why is my life a medical train wreck,life medical train wreck,can'tsay
1477, “BBC News - 41-week wait for surgery at Oswestry orthopaedic hospital http://t.co/7qz3yDCjIe” thought this was centre of excellence?,bbc news wait surgery oswestry orthopaedic hospital centre excellence,can'tsay
1485, Hey #embarrassingbodies I have a Rottweiler hanging off my balls by its teeth. Do you think I should see a doctor?!,hey #embarrassingbodies rottweiler hanging balls teeth doctor,can'tsay
1491," if you love sherlock, doctor who and harry potter then follow @SherbertLemonn she's my little bitch and i love her",love sherlock doctor harry potter follow shes little bitch love,can'tsay
1497," @LeeThePlutonian Thanks. Haha, really sick. Like I don't remember ever being this sick. I was in the hospital Sunday night.",thanks haha sick remember sick hospital sunday night,can'tsay
1505, mb_nottspost published Motorcyclist taken to hospital after collision with car: Article http://t.co/CXHQoN3vcl,mbnottspost published motorcyclist hospital collision car article,can'tsay
1506, mb_nottspost published Motorcyclist taken to hospital after collision with car: Article http://t.co/HYLENolB33,mbnottspost published motorcyclist hospital collision car article,can'tsay
1509, That mean doctor who tend to make ur life miserable!,mean doctor tend ur life miserable,can'tsay
1513, the best thing about the kill isthe bitwhere it sounds like the doctor who theme tune from like 4 years ago,kill isthe bitwhere sounds doctor theme tune ago,can'tsay
1516, http://t.co/aukqHypbfi If a doctor told me I had this gene without a doubt I would do exactly the same,doctor told gene doubt exactly,can'tsay
1526, Three victims remained in critical condition at a hospital Tuesday as New Orleans officials sought a teenage suspect in the Mother's Day ..,victims remained critical condition hospital tuesday orleans officials sought teenage suspect mothers day,can'tsay
1529," Also, my eyes are still super dialated from the eye doctor. Not a fan.",eyes super dialated eye doctor fan,can'tsay
1538, @JackAlfieGreen Cos they are too embarrassed to go to their doctor? Don't think so!!,cos embarrassed doctor,can'tsay
1546, love how ive become slightly obsessed with Doctor Who!,love ive slightly obsessed doctor,can'tsay
1549, Went straight from the hospital to track.. Was that a good idea?.. Ya probably not,straight hospital track idea ya probably,can'tsay
1550, @lazodair I was at the doctor. And I'll be here today boothang,doctor ill boothang,can'tsay
1554, #kermitgosnell found #guilty but will he get the death penalty? http://t.co/GxBk34rYdW,#kermitgosnell found #guilty death penalty,can'tsay
1565, Maybe next time everyone's in the common room I will play the doctor who theme tune and pretend I don't know where it's coming from,maybe time everyones common play doctor theme tune pretend coming,can'tsay
1587, 10 Post Ideas for Your Community Hospital Facebook Page http://t.co/UvFs7DWsFo,post ideas community hospital facebook page,can'tsay
1590," #NurChat engage with the entire hospital, create a social movement, dementia awareness. Why not staff from HR / Finance etc spending time",#nurchat engage entire hospital create social movement dementia awareness staff hr finance etc spending time,can'tsay
1592, I could revise maths or I could watch Doctor Who.,revise maths watch doctor,can'tsay
1593," Happy National Hospital Week! Our week is chugging along, just like our trains that visit St. Louis landmarks. http://t.co/PMhWFsAQ2q",happy national hospital week week chugging trains visit st louis landmarks,can'tsay
1595, Baby doctor... https://t.co/JsIRWRZptQ,baby doctor httpstcojsirwrzptq,can'tsay
1602, \@_b_0: In between finding out my Systems grade,finding systems grade doctor shit literally bird #tuesday,can'tsay
1606, We have all been chased by a doctor one time or another.@SupinfocomArles http://t.co/a10UzK6e2y #short #animation,chased doctor time anotheriiidddiiidddsupinfocomarles #short #animation,can'tsay
1624, Much Respect. http://t.co/gAVvRvvkJy http://t.co/fzSBO17lfb,respect,can'tsay
1625, Looking for a doctor in your area? #ultherapy http://t.co/gjri1CKjNn,looking doctor #ultherapy,can'tsay
1652, @steecatt that's why he got to the hospital so quickly,thats hospital quickly,can'tsay
1659, New rules reduce impact of hospital cuts — but some are still unhappy http://t.co/fww7svfOLn,rules reduce impact hospital cuts — unhappy,can'tsay
1683," Angelina Jolie's surgery not for all, says #UAE doctor: http://t.co/Go7LoqORTJ",angelina jolies surgery #uae doctor,can'tsay
1688, I think I need to go to the hospital.!,hospital,can'tsay
1689, Going to the hospital after school,hospital school,can'tsay
1704," \In LA I'm copping weed jars. In the Bay my hoes got medical weed cards\"" #FlightSchool""",la copping weed jars bay hoes medical weed cards #flightschool,can'tsay
1712," I liked a @YouTube video http://t.co/69x7G9mrEa Doctor Who TenII/Rose - \So Stay With Me\"" AU""",liked video doctor teniirose stay au,can'tsay
1722, Being a doctor doesn't make you smart,doctor smart,can'tsay
1730, http://t.co/DrXPKQtf1b Your doctor's diet is a death wish - WorldNetDaily,doctors diet death wish worldnetdaily,can'tsay
1742, Medical education: How to prepare for clinical cases - Helium http://t.co/bOZhmhl2ZD,medical education prepare clinical helium,can'tsay
1764," \Crappy\"" Marketing: My Banned Medical Glove Ad - http://t.co/6wwrNNvw5P""",crappy marketing banned medical glove ad,can'tsay
1765," on my way to the hospital , to return  my application packet",hospital return application packet,can'tsay
1769, Herd a girl in school today say \I'm such a nerd,herd girl school nerd watch doctor harry potter hehe shes dum fuck jump cliff please,can'tsay
1773," Someone call the doctor, got a case of a love bipolar",call doctor love bipolar,can'tsay
1779, Jobs in Post Graduate Institute of Medical Education &amp; Research (PGIMER) Chandigarh http://t.co/N2wvzMMEDJ,jobs post graduate institute medical education research pgimer chandigarh,can'tsay
1780, I've been in this hospital for to long. Diana hurry up with this interview man,hospital diana hurry interview,can'tsay
1786, The love doctor always helps,love doctor helps,can'tsay
1817, \Doctor,doctor drink fluids lot easier drinking solids,can'tsay
1824, Except the doctor part but whatever at least i didnt go to schoool lol,except doctor whatever didnt schoool lol,can'tsay
1828, @AndieJ I know! I've only ever known people be transferred by ambulance or hospital car. My in laws are country farm people....nightmare!,people transferred ambulance hospital car laws country farm peoplenightmare,can'tsay
1851, No good doctor ever takes physic. - Italian Proverb,doctor takes physic italian proverb,can'tsay
1859," After our son was born, I asked the doctor when the wife and I could have sex again. He said, \One month.\""... http://t.co/jj1PyK54Bd""",son born doctor wife sex month,can'tsay
1864," @judonald NOT AWFUL IT WAS AMAZING AND YEAH WE GOT SIGNED POSTCARDS (when I say I don't like doctor who, I loved it until david left!)",awful amazing yeah signed postcards doctor loved david left,can'tsay
1878, \Angelina Jolie's surgery not for all,angelina jolies surgery uae doctor,can'tsay
1884, Doctor who? http://t.co/5o3vVnnxUa,doctor,can'tsay
1888," “I have a feeling that one day, we’re all just gonna end up in a mental hospital… fandom mental hospital",feeling day ’re gonna mental hospital… fandom mental hospital,can'tsay
1903, How can the witch medical doctor ask a female that can help dancing? 'Voodoo choose to dancing simply by themself? when i,witch medical doctor female help dancing voodoo choose dancing simply themself,can'tsay
1911, My sister is going to the hospital she might have to get a surgery... I played Surgeon Simulator 2013 I can do it XD,sister hospital surgery played surgeon simulator xd,can'tsay
1914," That same night she was in d hospital, then released the next day, then 36 hrs later reunited wit fitz when he choose her  @HerFitz_HisLiv",night hospital released day hrs reunited wit fitz choose,can'tsay
1918, \My doctor says I'm schizophrenic. Well,doctor schizophrenic #nursehumor,can'tsay
1944, @yousufaahmed are you watching Holby City ? I swear they are calling the doctor .. Doctor Duszynski lol,watching holby city swear calling doctor doctor duszynski lol,can'tsay
1965, @lippylash Uh you OK? Why are you in the hospital?,uh ok hospital,can'tsay
1981, I made two guys in secondary school go hospital lol I was a menace,guys secondary school hospital lol menace,can'tsay
1988, @drnanettej RT anu clients looking for medical software?  @kevinmd @AmerMedicalAssn,anu clients looking medical software,can'tsay
1989, @50_Shades_Of_JJ are you okay? Heard you're in hospital? :( x,okay heard hospital,can'tsay
1997," @lynnne_ well I'm on my way to the hospital, we have to wait until after payday!",hospital wait payday,can'tsay
2005, I'm having a baby girl!!!! She will be rocking this when leaving the hospital #NYR LGR!!!! http://t.co/ZFuYGZ3b0L,baby girl rocking leaving hospital #nyr lgr,can'tsay
2008, Uh. My moms doctor just said she was healthy enough to still have kids! Please mom please have another baby!!!!,uh moms doctor healthy kids please mom please baby,can'tsay
2012, @LawTRICIA too embarrassed to talk to their doctor but they will tell the whole nation hahaha,embarrassed talk doctor tell nation hahaha,can'tsay
2022, The doctor hasn't even known Rose that long but he already cares about her more than anything I love it #drwho,doctor rose cares love #drwho,can'tsay
2051, @snowleopardess oh no! You should go to the doctor tomorrow!,oh doctor tomorrow,can'tsay
2052, Doctor time..,doctor time,can'tsay
2069, I love sitting at the hospital for 3 hours and getting no answers.,love sitting hospital hours getting answers,can'tsay
