tweets,tweets,
" TY for the follow, @DwayneSpradlin Aware of #modelH yet? Join us as we create a business model canvas for US healthcare. @modelHForum","ty,follow,aware,#modelh,join,create,business,model,canvas,healthcare",can'tsay
 Turning 18 is the worst thing that's ever happened to me.. #NeedHelp #Therapy..,"worst,happened,#needhelp,#therapy",can'tsay
 Tuesday is #WorldHungerDay! Take action with RESULTS to improve child #nutrition http://t.co/SknLq42BfO #Nutrition4Growth,"tuesday,#worldhungerday,action,results,improve,child,#nutrition,#nutrition4growth",can'tsay
" Trinidad, Rubia, Rafanan, Limson #thebigfour #psychology #professor #terror #scho coordinates {u'type': u'Point', u'coordinates': [121.1016905, 14.2690623]}","trinidad,rubia,rafanan,limson,#thebigfour,#psychology,#professor,#terror,#scho,type",can'tsay
 Tous les jours dans le BINKS artwork by #virgildesign  #Kaaris #therapy http://t.co/3sY7SkaXcB,"tous,les,jours,dans,le,binks,artwork,#virgildesign,#kaaris,#therapy",can'tsay
 Tonight's work went really well. £100 down on clothes. #therapy,"tonight,clothes,#therapy",can'tsay
 tomorrow's going to be awesome! #seniors,"tomorrow,awesome,#seniors",can'tsay
 Today will ESPECIALLY be about pancakes and other food-related issues! #RaganSocial,"especially,pancakes,food,related,issues,#ragansocial",can'tsay
 Today is World #Thyroid Day!! This is an issue which is personal for me! 2 years ago I was diagnosed… http://t.co/O5pgDgNrdi,"world,#thyroid,day,issue,personal,ago,diagnosed…",can'tsay
 Today I get my #Arm checked via #Ultrasound &amp; I'm nervous...,"#arm,checked,via,#ultrasound,nervous",can'tsay
 Tmlt Probably because all the smart kids/kid who make the study guides are exempt and all the others ones just don't care #Seniors,"tmlt,probably,smart,kids,kid,study,guides,exempt,ones,care,#seniors",can'tsay
 Tips to beef up the web presence of your #PhysicalTherapy practice: http://t.co/p63Y7n0VPo,"tips,beef,web,presence,#physicaltherapy,practice",can'tsay
 TIP: remove all forms of #wheat bran from your diet to enable your digestive system to function properly #nutrition:  http://t.co/L03oJuNXk2,"tip,remove,forms,#wheat,bran,diet,enable,digestive,system,function,properly,#nutrition",can'tsay
 throwback to my bestfriends first ultrasound #bff #baby #bump #child #kid #boy #ultrasound #cantwait… http://t.co/wWZpxmQ6dA,"throwback,bestfriends,ultrasound,#bff,#baby,#bump,#child,#kid,#boy,#ultrasound,#cantwait…",can'tsay
 Throw what you know #sororityswag #dphie #aoe #seniors #sportsweekend @koharb http://t.co/Udrzb9oh0G,"throw,#sororityswag,#dphie,#aoe,#seniors,#sportsweekend",can'tsay
" Thousands walk, run final mile of Boston Marathon: Rosy Spraker was only a half-mile from the finish ... http://t.co/vOB85X2E5y #seniors","thousands,walk,run,final,mile,boston,marathon,rosy,spraker,half,mile,finish,#seniors",can'tsay
 Thoughts on growth factor 9? Supplement to naturally promote human growth hormone #supplements #nutrition,"growth,factor,supplement,naturally,promote,human,growth,hormone,#supplements,#nutrition",can'tsay
 Those legs came from dad(: #ultrasound #17weeks #baby #longasslegs #justlikedaddy http://t.co/1wsvYPurEa,"legs,dad,#ultrasound,#17weeks,#baby,#longasslegs,#justlikedaddy",can'tsay
 This w/e Kellen Surette is undergoing a #stemcell transplant. He's from #GlaceBay. He's Thing 2's age. http://t.co/WvldCQ5yLM #GrowCellsGrow,"kellen,surette,undergoing,#stemcell,transplant,#glacebay,age,#growcellsgrow",can'tsay
" This school-sleep schedule has really fucked with my system, it feels like 1PM right now. #psych","school,sleep,schedule,fucked,system,feels,#psych",can'tsay
 This is a new NEQAS Directive sent 2 all #NHS Path Labs about failing Vit B12 Serum test &amp; giving urgent guidance.  http://t.co/lvwbpM2i3F …,"neqas,directive,sent,#nhs,path,labs,failing,vit,b12,serum,test,giving,urgent,guidance,…",can'tsay
 This guys been turning left for the past 5km #worstcliche #seniors http://t.co/Rte6AD8F2d,"guys,left,past,#worstcliche,#seniors",can'tsay
 This guys been turning left for the past 5km #worstcliche #seniors http://t.co/ei8enA8YPw,"guys,left,past,#worstcliche,#seniors",can'tsay
 This #MeatlessMonday: Brownie Pumpkin Pie http://t.co/DQDX07vm87,"#meatlessmonday,brownie,pumpkin,pie",can'tsay
 These butterfly's in my stomach are getting the best of me! #nervous #graduation #2013 #senior,"butterfly,stomach,getting,#nervous,#graduation,#2013,#senior",can'tsay
 Therapeutic gun cleaning session that was much needed #gun #cleaning #smith&amp;wesson #22 #therapy… http://t.co/QHdE00VMIi,"therapeutic,gun,cleaning,session,#gun,#cleaning,#smith,wesson,#22,#therapy…",can'tsay
" The upper right area of my stomach is agony and my stomach feels extremely warm. Can someone with medical knowledge please help #nhs #ill place <tweepy.models.Place object at 0x01D742D0> coordinates {u'type': u'Point', u'coordinates': [-4.16034976, 55.76832962]}","upper,stomach,agony,stomach,feels,extremely,warm,medical,knowledge,please,help,#nhs,#ill,type",can'tsay
 The supportive cells of the nervous system that guide growth of new neurons are known as _____. http://t.co/3rodD5Fk3p #neuroscience,"supportive,cells,nervous,system,guide,growth,neurons,#neuroscience",can'tsay
 The sister I've never had?? #seniors #loveher http://t.co/kiWL9I0Y1F,"sister,#seniors,#loveher",can'tsay
" The rumored dazed and confused sequel is either going to be epic or awful. And the movie is a classic, I'm nervous to say the lease #seniors","rumored,dazed,confused,sequel,epic,awful,movie,classic,nervous,lease,#seniors",can'tsay
 The role of plasma Epstein-Barr virus DNA in the management of recurrent nasopharyngeal carcinoma: T... http://t.co/oniSpRyOz1 #oncology,"role,plasma,epstein,barr,virus,dna,management,recurrent,nasopharyngeal,carcinoma,#oncology",can'tsay
" The OMPT Daily is out! Top posts from Perry Nickelston, Ben Fung, Physio Blogger and more! #physicaltherapy http://t.co/a7YMqbPKdd","ompt,daily,top,posts,perry,nickelston,ben,fung,physio,blogger,#physicaltherapy",can'tsay
 The moment you watch someone stand up on their own who hasn't walked in 3 months. #physicaltherapy,"moment,watch,stand,walked,months,#physicaltherapy",can'tsay
" The moment u see two human beings, walking together in the hospital,same gender, wearing black suite.. typical #pharmaceutical Geeks","moment,human,walking,hospital,gender,wearing,black,suite,typical,#pharmaceutical,geeks",can'tsay
" The moment my legs begin to move, my thoughts begin to flow. ~ Henry David Thoreau #Walking #Therapy #Healing #PTSD","moment,legs,begin,move,begin,flow,henry,david,thoreau,#walking,#therapy,#healing,#ptsd",can'tsay
 The less traumatic the #birth - the healthier the baby both physically &amp; mentally #nutrition #hypnotherapy #yoga: http://t.co/wDtxy5uHx5,"traumatic,#birth,healthier,baby,physically,mentally,#nutrition,#hypnotherapy,#yoga",can'tsay
 The lack of adequate #translation shown to be a factor in maternity deaths:  http://t.co/xiH3Zm9AGG #t9n #medical #interpretation,"lack,adequate,#translation,shown,factor,maternity,deaths,#t9n,#medical,#interpretation",can'tsay
" The first toothpaste ever made was a mixture of wine and pumice! It was made almost 5,000 years ago in Egypt. #fact #teeth #learnmore!","toothpaste,mixture,wine,pumice,ago,egypt,#,#teeth,#learnmore",can'tsay
 The ESC #LHIN Open Board Meeting will begin in 15 minutes. You can join via webcast here: http://t.co/5ZOk8ET9w1 #ONHEALTH,"esc,#lhin,board,meeting,begin,minutes,join,via,webcast,#onhealth",can'tsay
" The 30 occupations with the largest projected employment growth in the US, 2010-2020, include #nurses and #physicians http://t.co/1OLeqaOADF","occupations,largest,projected,employment,growth,include,#nurses,#physicians",can'tsay
 That's why I LOVE the soft sciences #Philosophy #History #Psychology because you don't have 2 talk about the past you just create a future,"love,soft,sciences,#philosophy,#history,#psychology,talk,past,create,future",can'tsay
 Thanks Pearl #Seniors c/o 2014 http://t.co/yI3wgMp7wY,"thanks,pearl,#seniors",can'tsay
 Thanks for all the great questions #UCLAMDChat,"thanks,questions,#uclamdchat",can'tsay
 Thank you very much Amarillo Bulls! I'll be at your open camp in July giving chair massages!!  #NAHL #Massagetherapy,"thank,amarillo,bulls,camp,july,giving,chair,massages,#nahl,#massagetherapy",can'tsay
" Team meeting, phonecalls, OCAIRS, phonecalls, sensory screen, phone calls, telecare, phone calls, you get the picture #OTuesday","team,meeting,phonecalls,ocairs,phonecalls,sensory,screen,phone,calls,telecare,phone,calls,picture,#otuesday",can'tsay
" Team Manager - Asylum Seeking    - Kent - Sanctuary Social Care #occupationaltherapy, #physicaltherapy http://t.co/M9ygMaflRh","team,manager,asylum,seeking,kent,sanctuary,social,care,#occupationaltherapy,#physicaltherapy",can'tsay
 Talk about a superfood: these foods will help you burn fat AND boost your immune system! #nutrition http://t.co/OR8jLQBhaS,"talk,superfood,foods,help,burn,fat,boost,immune,system,#nutrition",can'tsay
" Takes true professionals to treat those evil men in hospital, they are not worthy of any care. hope they rot in hell #NHS #helpforheroes","takes,true,professionals,treat,evil,hospital,worthy,care,hope,rot,hell,#nhs,#helpforheroes",can'tsay
 Take a look at 'Tackling human &amp; organisational factors: the human contribution' in our new #ptsafety resource centre http://t.co/BKFywPmNI1,"look,tackling,human,organisational,factors,human,contribution,#ptsafety,resource,centre",can'tsay
 Sweating as part of #exercise release toxins such as pesticides from our cells. Read more #health #nutrition - http://t.co/SxZRAgLosY,"sweating,#exercise,release,toxins,pesticides,cells,read,#health,#nutrition",can'tsay
 Surprised Wade didn't cry after that shot. He's been a baby the rest of the game #whystopnow,"surprised,wade,cry,shot,baby,rest,game,#whystopnow",can'tsay
 Surgeons fear online performance data will damage reputations http://t.co/Rhn6IQHo2C via @guardian #Health #NHS http://t.co/FPW2GTSAKb,"surgeons,fear,online,performance,data,damage,reputations,via,#health,#nhs",can'tsay
 Study: Role of family #caregivers expanding to include complex medical/nursing tasks #longtermcare http://t.co/ftM6xq2Ncm,"study,role,family,#caregivers,expanding,include,complex,medical,nursing,tasks,#longtermcare",can'tsay
 Study: Role of family #caregivers expanding to include complex medical/nursing tasks #longtermcare http://t.co/7YNuiC5YaS,"study,role,family,#caregivers,expanding,include,complex,medical,nursing,tasks,#longtermcare",can'tsay
 Study: kids who walk in street and talk on phone risk vehicular injury: http://t.co/lfaxG3Sosf #parenting #psychology,"study,kids,walk,street,talk,phone,risk,vehicular,injury,#parenting,#psychology",can'tsay
 strattera #Pills #pharmacy #health http://t.co/TC8lAp8Z3f,"strattera,#pills,#pharmacy,#health",can'tsay
 Story in New York Times on how #nutrition has been bred out of our #food http://t.co/43W9UqyyNX #health #science,"story,york,times,#nutrition,bred,#food,#health,#science",can'tsay
 Started taking #Synthroid for #thyroid problems 2 months ago; have lost enough hair since to have a bald spot! Any help or suggestions?,"started,taking,#synthroid,#thyroid,months,ago,lost,hair,bald,spot,help,suggestions",can'tsay
 Squad got awarded a nursing coin for putting in work on the floors ?????? #nursing #army… http://t.co/JXlAKaUBW0,"squad,awarded,nursing,coin,putting,floors,#nursing,#army…",can'tsay
 Spending time in #NHS care has re-kindled my faith in human nature. Such kindness very moving...,"spending,time,#nhs,care,re,kindled,faith,human,nature,kindness,moving",can'tsay
 Someone had fun creating this message for our broken tube system. #Hospitals #Nurse #Nightshift http://t.co/zf0ih3WCmd,"fun,creating,message,broken,tube,system,#hospitals,#nurse,#nightshift",can'tsay
 so here he or she is #babybaird #mybeautifulbaby #ultrasound #adorable http://t.co/UxMndbUKvq,"#babybaird,#mybeautifulbaby,#ultrasound,#adorable",can'tsay
 So excited for the next couple weeks ahead #seniors,"excited,couple,weeks,ahead,#seniors",can'tsay
 SNK e-letter quotes: Sebelius: Nurses' \contributions at the heart of our health care system,"snk,letter,quotes,sebelius,nurses,contributions,heart,health,care,system",can'tsay
 Sleep is for people who revisited weeks before the exam...not me #sleepdeprivation,"sleep,people,revisited,weeks,exam,#sleepdeprivation",can'tsay
 Skin care time :) #instamakeup #Instabeauty #Instaciao #biogram #instagood #skincare #skincaretime… http://t.co/rXfvaWA03g,"skin,care,time,#instamakeup,#instabeauty,#instaciao,#biogram,#instagood,#skincare,#skincaretime…",can'tsay
 Sister's graduation!! #bored #burninghot #CSULB #nursing #49ers http://t.co/h52KsYhn4y,"sister,graduation,#bored,#burninghot,#csulb,#nursing,#49ers",can'tsay
 Sign up to receive free weekly newsletters about #OccupationalTherapy: http://t.co/Df8njPvwVO #OTpeeps,"sign,receive,free,weekly,newsletters,#occupationaltherapy,#otpeeps",can'tsay
" Sigh, no time soon for me. Bedside ultrasound tips for the general internist http://t.co/FFcov3AwCh via @kevinmd #mdchat","sigh,time,soon,bedside,ultrasound,tips,internist,via,#mdchat",can'tsay
 Shona is the cutest :) #baby #smiling #happy #teeth http://t.co/rHRB8WYlqr,"shona,cutest,#baby,#smiling,#happy,#teeth",can'tsay
 She's starting to believe. Knowledge is power.  The Word has the answers. Jesus promised He'd take care of me. #physicaltherapy,"starting,believe,knowledge,power,word,answers,jesus,promised,care,#physicaltherapy",can'tsay
" sharing #suaju This Week in PLOS Medicine: Integrating Mental Health &amp; HIV Care, Colon ... - PLoS Bl.. #medicine http://t.co/IETnavr0vt","sharing,#suaju,week,plos,medicine,integrating,mental,health,hiv,care,colon,plos,bl,#medicine",can'tsay
 sharing #suaju LoveWay seeking volunteers to learn horse therapy program - 0 Minutes Ago - Goshen News #therapy http://t.co/p4G4l0C4Y0,"sharing,#suaju,loveway,seeking,volunteers,learn,horse,therapy,program,minutes,ago,goshen,news,#therapy",can'tsay
" sharing #suaju Hotel Xixim Offers \Karma Kids\"" Yoga Class in Summer Family Package - PR Web (pr.. #therapy #yoga http://t.co/tWqSVpP1UL""","sharing,#suaju,hotel,xixim,offers,karma,kids,yoga,class,summer,family,package,pr,web,pr,#therapy,#yoga",can'tsay
 Sex and the City 2 + pizza #therapy #perfectday,"sex,city,pizza,#therapy,#perfectday",can'tsay
 Senior sports banquet! #mommy #daddy #love #dressy #senior #2013 http://t.co/PVJjsv27Sp,"senior,sports,banquet,#mommy,#daddy,#love,#dressy,#senior,#2013",can'tsay
 Senior shirt is officially complete! ?? #senior #2014 #complete http://t.co/SSx1eFr4QY,"senior,shirt,officially,complete,#senior,#2014,#complete",can'tsay
 Senior Pics!!!! Both are professionally taken. #Seniors #Pictures #Professional #Matching… http://t.co/uvYufbsmmZ,"senior,pics,professionally,#seniors,#pictures,#professional,#matching…",can'tsay
 Seeing and holding my cousins baby makes me want baby Bryson Lee Breese here in my arms so badly! #Just a couple more weeks #patients,"seeing,holding,cousins,baby,makes,baby,bryson,lee,breese,arms,badly,#,couple,weeks,#patients",can'tsay
 SCP surgery preserves vaginal depth #UCLAMDChat,"scp,surgery,preserves,vaginal,depth,#uclamdchat",can'tsay
 Schools Finna go cray cray in a few minutes #seniors,"schools,finna,cray,cray,minutes,#seniors",can'tsay
" Say hello world, little love on top! #instababy #ultrasound http://t.co/Dl6dSn8wx1","hello,world,little,love,top,#instababy,#ultrasound",can'tsay
 Say cheese! The calcium and phosphorous found in cheese is healthy for your #teeth – it reduces the pH level in plaque and...,"cheese,calcium,phosphorous,found,cheese,healthy,#teeth,–,reduces,ph,level,plaque",can'tsay
 Salamanders' ability to regrow limbs tied to #immune system http://t.co/3vh6kKacUN #regenerative #medicine,"salamanders,ability,regrow,limbs,tied,#immune,system,#regenerative,#medicine",can'tsay
 Ryan did not want her to see his teeth.  #baby #nephew #love #teeth #kira #ryan #baby #shopping… http://t.co/VqBPfNhnxz,"ryan,teeth,#baby,#nephew,#love,#teeth,#kira,#ryan,#baby,#shopping…",can'tsay
" RT@AAPAorg I was born to be a #PhysicianAssistant! We have PA DNA, hardwired to care for patients. Will that quote ensure admission for me?","born,#physicianassistant,pa,dna,hardwired,care,patients,quote,ensure,admission",can'tsay
" RT @willsmythemd: \The Decline and Fall of American Medical Authority\"" http://t.co/Sl44LkAzgh #health #medicine #patientslikeme""","decline,fall,american,medical,authority,#health,#medicine,#patientslikeme",can'tsay
 RT @whitneybroooke: Can't wait to see my witttle baby on the 3rd! ?** #ultrasound http://t.co/AzMC4MgvJk http://t.co/GqcpLFszJv,"wait,witttle,baby,#ultrasound",can'tsay
 RT @whitneybroooke: Can't wait to see my witttle baby on the 3rd! ?** #ultrasound http://t.co/AzMC4MgvJk,"wait,witttle,baby,#ultrasound",can'tsay
 RT @SeggiBev iPhone App Aids Training in Bedside Ultrasound Exams | #mHealth @scoopit http://t.co/hxRHOgy3pQ,"iphone,app,aids,training,bedside,ultrasound,exams,#mhealth",can'tsay
 RT @Master_Rupe: Fuck her!....#psych,"rupe,fuck,#psych",can'tsay
" RT @life_psych: \You are fired. For what case? All\"" #Psych \""Rob a Bye Baby\""""","psych,fired,#psych,rob,bye,baby",can'tsay
" RT @lesmil1 Wow, this is cool: Doctors use #3Dprinter to custom-design implant for baby http://t.co/7xEIJGKnSVRT @USATODAYhealth #medical","wow,cool,doctors,#3dprinter,custom,design,implant,baby,#medical",can'tsay
 RT @Insuremekevin: Sky high #Medicare provider charges illustrate broken health insurance market - http://t.co/TPCZzR75wI,"sky,#medicare,provider,charges,illustrate,broken,health,insurance,market",can'tsay
 RT @Healthy_Bodyz: Immune Protect with Paractin - Clinically Shown to Boost the Immune System http://t.co/iwxVvhFBbx #nutrition,"bodyz,immune,protect,paractin,clinically,shown,boost,immune,system,#nutrition",can'tsay
 RT @graemeanderton 1 in 5 people wait over a year to receive talk therapy #doncasterisgreat #mentalhealth #southyorkshire ...,"people,wait,receive,talk,therapy,#doncasterisgreat,#mentalhealth,#southyorkshire",can'tsay
 RT @fotoinc: Last in the series on shoulder #PToutcomes. Processes w/i the system important: http://t.co/zPbkvte6zJ,"series,shoulder,#ptoutcomes,processes,system",can'tsay
 RT @entradahealth: Secure Text Messaging Can Cut Hospital Discharge Times by 50 Minutes http://t.co/qeL7Em4ZJR #HIT #mHealth,"secure,messaging,cut,hospital,discharge,times,minutes,#hit,#mhealth",can'tsay
 RT @dtodo1paco: A 'learning health system'  http://t.co/JeMTTIJ2XC #eHealth #ai #medical #intelligent #system #telemedicina20uoc,"learning,health,system,#ehealth,#ai,#medical,#intelligent,#system,#telemedicina20uoc",can'tsay
 RT @DennysDiner All you need to do is be the first to respond correctly! #RaganSocial,"respond,correctly,#ragansocial",can'tsay
" RT @alexrogers46: \Trisha your fingers are like magical baby wieners\"" ** #psych""","trisha,fingers,magical,baby,wieners,#psych",can'tsay
" Right!  RT @cwilsonwellness: The intersection of mental health and public health = health, safety, wellness #sdoh #hcsmct","intersection,mental,health,public,health,health,safety,wellness,#sdoh,#hcsmct",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/yIcKBexLae #skincare #facialbrush","review,#spa,#sonic,skin,care,system,former,cosmetologist,loves,#skincare,#facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/POSc5cLKid #skincare #facialbrush","review,#spa,#sonic,skin,care,system,former,cosmetologist,loves,#skincare,#facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/leOedoHN6j #skincare #facialbrush","review,#spa,#sonic,skin,care,system,former,cosmetologist,loves,#skincare,#facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/Hw1FuQ94x6 #skincare #facialbrush","review,#spa,#sonic,skin,care,system,former,cosmetologist,loves,#skincare,#facialbrush",can'tsay
" Review of #Spa #Sonic Skin Care System, this Former Cosmetologist LOVES it!  http://t.co/5utHPA1CkN #skincare #facialbrush","review,#spa,#sonic,skin,care,system,former,cosmetologist,loves,#skincare,#facialbrush",can'tsay
