tweets,cleaned tweets,
 WTF files... MT @RitikaGoelTO: Growth in antipsychotic drug use even in infants http://t.co/aZJF2yCS5g #pharma #cdnhealth #mentalhealth,"wtf,files,mt,growth,antipsychotic,drug,infants,#pharma,#cdnhealth,#mentalhealth",Medical
 Writing writing writing #Als http://t.co/bklbsbZrhy,"writing,writing,writing,#als",Medical
" Wrecked cars, debris jammed into main entrance of #hospital in Moore, #Oklahoma: http://t.co/FK0uQZ3ibq","wrecked,cars,debris,jammed,main,entrance,#hospital,moore,#oklahoma",Medical
 Wow: how #populationhealth means something different in developing nations: http://t.co/02LGynkJDf #mhealth #mobilehealth #healthIT,"wow,#populationhealth,means,developing,nations,#mhealth,#mobilehealth,#healthit",Medical
 Wow. #Obesity Now Costs Americans More In #HealthCare Spending Than Smoking - Forbes http://t.co/ygT3pLU28m,"wow,#obesity,costs,americans,#healthcare,spending,smoking,forbes",Medical
" Wow, can you imagine? RT @karengrepin: In China, Breathing Becomes a Childhood Risk  http://t.co/c9t66C1oJm #globalhealth #ehealth","wow,imagine,china,breathing,childhood,risk,#globalhealth,#ehealth",Medical
" WOW!! “@KickBrainTumors Cold plasma successful against brain cancer cells, study suggests: http://t.co/F3R1qp487v #BrainTumorThursday #BTSM","wow,cold,plasma,successful,brain,cancer,cells,study,suggests,#braintumorthursday,#btsm",Medical
 Wow! #Healthcare costs in #Sri #Lanka is low : #CT scan (head) #USD70 compared to #US prices. We are lucky.,"wow,#healthcare,costs,#sri,#lanka,low,#ct,scan,head,#usd70,compared,#,prices,lucky",Medical
 Wow there 2 woman here at the #dentists office that wont shut up. Women r sooo different from us men who just want to chill. Shut up!!!,"wow,woman,#dentists,office,wont,shut,women,sooo,chill,shut",Medical
 Wow the belated #birthday #presents keep rolling in :D thanks @benstoned1 for paying my #doctor fee… http://t.co/hLJDVYwuyc,"wow,belated,#birthday,#,rolling,thanks,paying,#doctor,fee…",Medical
 Wow I can't feel my mouth at all #dentist ????,"wow,feel,mouth,#dentist",Medical
 Wow I am not enjoying having a numb upper lip?? #dentist #feelssoweird #getmeouttahere,"wow,enjoying,numb,upper,lip,#dentist,#feelssoweird,#getmeouttahere",Medical
 Wow already....I can't believe how time flies! #21 #birthday #giftoflife #thankyoumom http://t.co/MeBx87BIR7,"wow,believe,time,flies,#21,#birthday,#giftoflife,#thankyoumom",Medical
 Would you survive an #EHR meaningful use audit? Learn how to prepare: http://t.co/YDBZirGPnh,"survive,#ehr,meaningful,audit,learn,prepare",Medical
 Would you survive an #EHR meaningful use audit? Learn how to prepare: http://t.co/tiBQKq90Dk,"survive,#ehr,meaningful,audit,learn,prepare",Medical
 Would you resort to speed dating when searching for a new doctor? #hcmktg http://t.co/WvrUkSORXt,"resort,speed,dating,searching,doctor,#hcmktg",Medical
 Would you resort to speed dating when searching for a new doctor? #hcmktg http://t.co/UNESnnMRbN,"resort,speed,dating,searching,doctor,#hcmktg",Medical
 Would you resort to speed dating when searching for a new doctor? #hcmktg http://t.co/4JfXaU3t0O,"resort,speed,dating,searching,doctor,#hcmktg",Medical
" Would you like to move your #dental business from surviving to Thriving? Then talk to an Expert, @gary_takacs","move,#dental,business,surviving,thriving,talk,expert,takacs",Medical
 Would you like to learn more about our #healthcare reform #financial modeler? Learn more http://t.co/jOkzU0n79S. #ACA,"learn,#healthcare,reform,#financial,modeler,learn,#aca",Medical
 Would you like to keep up with BHM and our blogs on a weekly basis? You will be on the cutting edge of healthcare news. #healthcare...,"bhm,blogs,weekly,basis,cutting,edge,healthcare,news,#healthcare",Medical
 Would been a #Doctor if I was pose to have #Patience...#SAYDAT,"#doctor,pose,#patience,#saydat",Medical
 Would a listing of #healthcare costs be helpful to you? - Have Healthcare Your Way: How Much Does It Cost? http://t.co/QquobdRSmO,"listing,#healthcare,costs,helpful,healthcare,cost",Medical
 Would a listing of #healthcare costs be helpful to you? - Have Healthcare Your Way: How Much Does It Cost? http://t.co/9p8DIu3x38,"listing,#healthcare,costs,helpful,healthcare,cost",Medical
 Worth it ang sakit!! Hrrr#dentist#edge to edge# http://t.co/dBsJkIbRWF,"worth,ang,sakit,hrrr#dentist#edge,edge#",Medical
 worst time of my life #dentist #hateit ??????,"worst,time,life,#dentist,#hateit",Medical
 Worst I've felt in a Long time. Eye feels/looks like its been powerfully hit 50 times. #ohmy #stressed #doctors,"worst,time,eye,feels,looks,powerfully,hit,times,#ohmy,#stressed,#doctors",Medical
 worst day ever #hospital,"worst,day,#hospital",Medical
 Worlds first Learning Pillbox assists  #adherence http://t.co/GbsuDiJEeI #wisepill http://t.co/hIsnn7EG9H,"worlds,learning,pillbox,assists,#adherence,#wisepill",Medical
 World-class #aphasia program gives #stroke survivors a lift http://t.co/U3gEzKXbZW,"world,class,#aphasia,program,#stroke,survivors,lift",Medical
 World Health Organization on diseases and disorders treated with #acupuncture. #ChineseMedicine http://t.co/y5UZ4vqba7,"world,health,organization,diseases,disorders,treated,#acupuncture,#chinesemedicine",Medical
 World Health Assembly convenes with focus on post-2015 global development …  #globalhealth http://t.co/Y8sPdKBa8j,"world,health,assembly,convenes,focus,post,global,development,…,#globalhealth",Medical
" Worksite wellness programs is promoted by parts of #ACA. If your office doesn't have a gym, it soon might. http://t.co/jpbERzLF1b #HCR","worksite,wellness,programs,promoted,#aca,office,gym,soon,#hcr",Medical
 Worksite clinics offers a innovative #healthcare plan 4 your business. Employee-centered.  Employee engaged. Saves you $'s. Contact me.,"worksite,clinics,offers,innovative,#healthcare,plan,business,employee,centered,employee,engaged,saves,contact",Medical
 Workplace wellness programs can generate savings http://t.co/S25AtmVVNR #healthcare,"workplace,wellness,programs,generate,savings,#healthcare",Medical
 Workout day. #getfit #bestfriends #spousey #getatus???? @bowling_olivia http://t.co/HVDqk6JGJT,"workout,day,#getfit,#bestfriends,#spousey,#getatus,olivia",Medical
" Workout at 5am, then a 2 mile run #productive #morning #getfit #lifting","workout,mile,run,#productive,#morning,#getfit,#lifting",Medical
 Working with my besties @heidy_1622 luisabenjumea #doctors #er http://t.co/GHfLeszlPq,"besties,luisabenjumea,#doctors,#er",Medical
 Working with @twilio integration to bring added notifications for users on http://t.co/PdBEvnIUqO #healthIT #bigdata #healthcare,"integration,bring,added,notifications,users,#healthit,#bigdata,#healthcare",Medical
 Working the hospital bands #Hospital #NiNight #PutToSleep http://t.co/zMgdD4XAdw,"hospital,bands,#hospital,#ninight,#puttosleep",Medical
 Working out without results would be depressing #eatright,"results,depressing,#eatright",Medical
" Working in the #healthcare industry? Your #career may need a rudder, via @MyHCExec http://t.co/Cdpxm1CSo1 #job #jobs #hc","#healthcare,industry,#career,rudder,via,#job,#jobs,#hc",Medical
" Working behind the scenes at #flufighter HQ, updating the website and tweaking our flu kills posters. More details soon! :)","scenes,#flufighter,hq,updating,website,tweaking,flu,kills,posters,details,soon",Medical
" Workers start 2-day #strike at #UC #hospitals - #San #Diego, #California News Station-KFMB Channel 8 http://t.co/GMPxjbEi47","workers,start,day,#strike,#uc,#hospitals,#san,#diego,#california,news,station,kfmb,channel",Medical
 Worked 8 hours and then biked for 20 mins...not much but I'm proud of myself #getfit #slowlybutsurely,"hours,biked,mins,proud,#getfit,#slowlybutsurely",Medical
" Work out time #getfit place <tweepy.models.Place object at 0x01E33370> coordinates {u'type': u'Point', u'coordinates': [-84.458741, 39.07029205]}","time,#getfit,type",Medical
 Work in #pharma marketing? Follow the #VelocityDS feed this afternoon: http://t.co/vO9HE2SZ9d #hcmktg #socpharm,"#pharma,marketing,follow,#velocityds,feed,afternoon,#hcmktg,#socpharm",Medical
 Word Of The Day: Fiduciary #HealthLaw&amp;Ethics,"word,day,fiduciary,#healthlaw,ethics",Medical
 WOOOOOW #the #doctor http://t.co/CZl5AcYaox,"wooooow,#,#doctor",Medical
 Woohoo! #glutenfree falafel with salad and babaganoush (at @MaozVeg) http://t.co/cqV6qGQnEs,"woohoo,#glutenfree,falafel,salad,babaganoush",Medical
 woo numb mouth?? #dentist,"woo,numb,mouth,#dentist",Medical
" Wonderfully inspiring words from Stephen Lewis on medicare, CHCs, + social democracy: http://t.co/EF6JO2rZcR #Medicare50 #cdnhealth #cdnpoli place <tweepy.models.Place object at 0x01F33730>","wonderfully,inspiring,words,stephen,lewis,medicare,chcs,social,democracy,#medicare50,#cdnhealth,#cdnpoli",Medical
" Wonder if active purchasing led to insurers staying out of CA exchange, or if it just looks that way: http://t.co/ryD7RuhCN0 #hcr","wonder,active,purchasing,led,insurers,staying,ca,exchange,looks,#hcr",Medical
 Women suffer more mental health problems than men due to stress of juggling many roles http://t.co/9UqF7cUCFG #mentalhealth #globalhealth,"women,suffer,mental,health,due,stress,juggling,roles,#mentalhealth,#globalhealth",Medical
 Women Less Likely to Get Trauma Center Care After Injury: Study: Title: Women Less Likely to... http://t.co/ipYAhgF5fP #healthcare #news,"women,trauma,center,care,injury,study,title,women,#healthcare,#news",Medical
 Woman with severe mental disorder wins right to have abortion - http://t.co/eBnrDc4obD #bioethics #law #jurisprudence,"woman,severe,mental,disorder,wins,abortion,#bioethics,#law,#jurisprudence",Medical
 Woman kicked out of hospital dies in #police custody http://t.co/Qn76DZB6LU @youtube  ~  #healthcare #justice,"woman,kicked,hospital,dies,#police,custody,#healthcare,#justice",Medical
 Wittle babyyy scared yet?! #dentist @shelbi_hooten http://t.co/30yIutuMsr,"wittle,babyyy,scared,#dentist,hooten",Medical
" Without feedback, #doctors aren't able to improve their #coding to improve patient care and maximize reimbursements. Designate a CPC","feedback,#doctors,able,improve,#coding,improve,patient,care,maximize,reimbursements,designate,cpc",Medical
" Without #healthcare benefits, miners will be forced to deal with injuries like black lung and #cancer on their own. #UMWA","#healthcare,benefits,miners,forced,deal,injuries,black,lung,#cancer,#umwa",Medical
 With thousands of #digitalhealth apps available; how do consumers find them all? http://t.co/g4KhP6HEHt #healthit #hcsm,"thousands,#digitalhealth,apps,available,consumers,#healthit,#hcsm",Medical
" With SG Regina Benjamin and new CDC program for smokers-\Talk With Your Doctor\"" #aafp http://t.co/vkn6kjtM50""","sg,regina,benjamin,cdc,program,smokers,talk,doctor,#aafp",Medical
" With Pain Management Training, You'll Never Have to Refer Another Client Again. http://t.co/WpbRRX4Xcr #meded,  #doctors","pain,management,training,refer,client,#meded,#doctors",Medical
 With my lovely cousin :* Miss this time...at #hospital  #intan http://t.co/c4aNlOMNkz,"lovely,cousin,miss,time,#hospital,#intan",Medical
" With high deductible health plans, it pays to shop around for care http://t.co/nrqoXoU5mp  via @bangordailynews #Hospital #Insurance","deductible,health,plans,pays,shop,care,via,#hospital,#insurance",Medical
" With High Deductible Health Plans, It Pays To Shop Around For Care  http://t.co/ezftxKog9o #healthinsurance #healthdisparities","deductible,health,plans,pays,shop,care,#healthinsurance,#healthdisparities",Medical
 With fellow #dermatologist Dr Jaliman at @selfmagazine's #molecheckmonday http://t.co/MXSfM1qH6Q,"fellow,#dermatologist,dr,jaliman,#molecheckmonday",Medical
 With Dr. Santos...#cardiologist #arrhythmia #amiodarone http://t.co/qGHAfvidO4,"dr,santos,#cardiologist,#arrhythmia,#amiodarone",Medical
" With Consensus and Money, State Takes on Mental Health Care http://t.co/KXVEmdzCn9 #mentalhealth #healthdisparities","consensus,money,takes,mental,health,care,#mentalhealth,#healthdisparities",Medical
" With changed market access requirements, companies need to transform their launch approach to meet these changes #asia #pharma #biotech","changed,market,access,requirements,companies,transform,launch,approach,meet,changes,#asia,#pharma,#biotech",Medical
 With biotech collaborators RuiYi sets sail developing new biologic drugs for China #biologics #biosimilars #biobetter http://t.co/WNaIvZEfjV,"biotech,collaborators,ruiyi,sets,sail,developing,biologic,drugs,china,#biologics,#biosimilars,#biobetter",Medical
" With #healthcare spending as much as 35% of their budgets, a #governor has a tough job to manage. http://t.co/QyRJeGJmyy #CHSBlog","#healthcare,spending,budgets,#governor,tough,job,manage,#chsblog",Medical
 With #HCR changing the landscape. Employers must stay informed with changes. #PPACA - http://t.co/iraaRVV7aR,"#hcr,changing,landscape,employers,stay,informed,changes,#ppaca",Medical
 With #HCR changing the landscape. Employers must stay informed with changes. #PPACA - http://t.co/hqznLDQVj6,"#hcr,changing,landscape,employers,stay,informed,changes,#ppaca",Medical
 With #HCR changing the landscape. Employers must stay informed with changes. #PPACA - http://t.co/e6qSKVW1wW,"#hcr,changing,landscape,employers,stay,informed,changes,#ppaca",Medical
 Wishing all #EMS providers in #FairfaxCounty a Happy &amp; Safe EMS Week.  http://t.co/rsOl94lcaF,"wishing,#ems,providers,#fairfaxcounty,happy,safe,ems,week",Medical
 Wishing @AmericanCancer a happy 100th bday this wk. Thanks 4 helping people learn how to reduce their cancer risk &amp; #GetFit #FinishTheFight,"wishing,happy,bday,wk,thanks,helping,people,learn,reduce,cancer,risk,#getfit,#finishthefight",Medical
 Wishing @AmericanCancer a happy 100th bday this week.Thanks for helping people learn how to reduce their cancer risk #GetFit #FinishTheFight,"wishing,happy,bday,week,thanks,helping,people,learn,reduce,cancer,risk,#getfit,#finishthefight",Medical
 Wisdom+heart+artistry. Bravo Pat @millerdwan and @Amri_Studio on amazing work. http://t.co/WsfMDOyvqi #philanthropy #mentalhealth #hospice,"wisdom,heart,artistry,bravo,pat,studio,amazing,#philanthropy,#mentalhealth,#hospice",Medical
 Wisdom teeth are also known as third molars. #teeth #dental #dentalcare #orthodontic http://t.co/xvgxZLLyNv,"wisdom,teeth,third,molars,#teeth,#dental,#dentalcare,#orthodontic",Medical
 Wisdom of Death. #dentist #dental #machineries #xray #wisdom #wisdomteeth @ Cure Dental &amp; Orthodontics http://t.co/urugsQU5o7,"wisdom,death,#dentist,#dental,#machineries,#xray,#wisdom,#wisdomteeth,cure,dental,orthodontics",Medical
 Wisdom for caregivers from Dr. Seuss #Caregivers http://t.co/YjOjWCFCgB #multigenerational #combatburnout,"wisdom,caregivers,dr,seuss,#caregivers,#multigenerational,#combatburnout",Medical
 WisCon Preparations: A Brave New World of Bioethics – this ain't livin' http://t.co/ft6nLAOfaB #bioethics,"wiscon,preparations,brave,world,bioethics,–,ai,livin,#bioethics",Medical
 wiped out big time #solarflares #acupuncture #snoooooooze,"wiped,time,#solarflares,#acupuncture,#snoooooooze",Medical
 Winston Churchill ! Les Daleks ! #Doctor Who ! #france4,"winston,churchill,les,daleks,#doctor,#france4",Medical
 Window Washers at Children's #Hospital #Pittsburgh: http://t.co/XjrLaGR3jT,"window,washers,children,#hospital,#pittsburgh",Medical
 Wilton's Fit Girls complete benefit 5K http://t.co/GHC780chJp  - #hospice,"wilton,fit,girls,complete,benefit,#hospice",Medical
 Willis North America launches private health insurance #exchange: http://t.co/mDMWtSbsyS | #HIX,"willis,north,america,launches,private,health,insurance,#exchange,#hix",Medical
 Will we see Exchange Markets under Obamacare work in 2014? Or will we have to wait for 2015? http://t.co/75y4ib6JA9  #HealthIT #ACA,"exchange,markets,obamacare,wait,#healthit,#aca",Medical
