ApplNo	ProductNo	Form	Dosage	ProductMktStatus	TECode	ReferenceDrug	drugname	activeingred
001546	001	TABLET; ORAL	125MG	1		0	GUANIDINE HYDROCHLORIDE	GUANIDINE HYDROCHLORIDE
002139	003	TABLET; ORAL	5MG	3		0	MENADIONE	MENADIONE
002245	002	TABLET; ORAL	65MG	3		0	PROLOID	THYROGLOBULIN
002245	004	TABLET; ORAL	325MG	3		0	PROLOID	THYROGLOBULIN
002245	005	TABLET; ORAL	32MG	3		0	PROLOID	THYROGLOBULIN
002245	007	TABLET; ORAL	200MG	3		0	PROLOID	THYROGLOBULIN
002245	008	TABLET; ORAL	100MG	3		0	PROLOID	THYROGLOBULIN
002245	009	TABLET; ORAL	16MG	3		0	PROLOID	THYROGLOBULIN
002245	010	TABLET; ORAL	130MG	3		0	PROLOID	THYROGLOBULIN
002282	001	INJECTABLE; INJECTION	100MG/ML	3		0	INULIN AND SODIUM CHLORIDE	INULIN
002386	002	TABLET; ORAL	100MG	3		0	AMINOPHYLLIN	AMINOPHYLLINE
002386	003	TABLET; ORAL	200MG	3		0	AMINOPHYLLIN	AMINOPHYLLINE
002918	001	POWDER; TOPICAL	33.32%	3		0	BENSULFOID	SULFUR
003158	001	TABLET; ORAL	10MG	3		0	ORETON METHYL	METHYLTESTOSTERONE
003158	002	TABLET; ORAL	25MG	3		0	ORETON METHYL	METHYLTESTOSTERONE
003240	001	TABLET; BUCCAL, SUBLINGUAL	10MG	3		0	METANDREN	METHYLTESTOSTERONE
003240	003	TABLET; BUCCAL, SUBLINGUAL	25MG	3		0	METANDREN	METHYLTESTOSTERONE
003240	004	TABLET; BUCCAL, SUBLINGUAL	5MG	3		0	METANDREN	METHYLTESTOSTERONE
003240	005	TABLET; BUCCAL, SUBLINGUAL	10MG	3		0	METANDREN	METHYLTESTOSTERONE
003402	001	INJECTABLE; INJECTION	5PRESSOR UNITS/ML	3		0	PITRESSIN TANNATE	VASOPRESSIN TANNATE
003444	001	CAPSULE; ORAL	50,000 IU	1	AA	1	DRISDOL	ERGOCALCIFEROL
003718	004	INJECTABLE; INJECTION	5MG/ML	3		0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003718	006	INJECTABLE; INJECTION	10MG/ML	3		0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003718	008	INJECTABLE; INJECTION	37.5MG/ML	3		0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003718	010	TABLET; ORAL	5MG	3		0	SYNKAYVITE	MENADIOL SODIUM DIPHOSPHATE
003977	001	INJECTABLE; INJECTION	1MG/ML	3		0	THEELIN	ESTRONE
003977	002	INJECTABLE; INJECTION	2MG/ML	3		0	THEELIN	ESTRONE
003977	003	INJECTABLE; INJECTION	5MG/ML	3		0	THEELIN	ESTRONE
004039	002	TABLET, DELAYED RELEASE; ORAL	0.1MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	003	TABLET, DELAYED RELEASE; ORAL	0.5MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	004	TABLET, DELAYED RELEASE; ORAL	1MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	005	TABLET, DELAYED RELEASE; ORAL	0.25MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004039	006	TABLET, DELAYED RELEASE; ORAL	5MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004040	001	SUPPOSITORY; VAGINAL	0.1MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004040	002	SUPPOSITORY; VAGINAL	0.5MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	002	TABLET; ORAL	0.1MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	003	TABLET; ORAL	0.5MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	004	TABLET; ORAL	1MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004041	005	TABLET; ORAL	5MG	3		0	DIETHYLSTILBESTROL	DIETHYLSTILBESTROL
004054	001	TABLET; ORAL	500MG	3		0	SULFADIAZINE	SULFADIAZINE
004054	002	INJECTABLE; INJECTION	250MG/ML	3		0	SULFADIAZINE SODIUM	SULFADIAZINE SODIUM
004056	001	SUPPOSITORY; VAGINAL	0.1MG	3		0	STILBESTROL	DIETHYLSTILBESTROL
004056	002	SUPPOSITORY; VAGINAL	0.5MG	3		0	STILBESTROL	DIETHYLSTILBESTROL
004056	003	INJECTABLE; INJECTION	0.2MG/ML	3		0	STILBESTROL	DIETHYLSTILBESTROL
004056	004	INJECTABLE; INJECTION	0.5MG/ML	3		0	STILBESTROL	DIETHYLSTILBESTROL
004056	005	INJECTABLE; INJECTION	1MG/ML	3		0	STILBESTROL	DIETHYLSTILBESTROL
004056	006	INJECTABLE; INJECTION	5MG/ML	3		0	STILBESTROL	DIETHYLSTILBESTROL
004056	007	TABLET; ORAL	0.1MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	008	TABLET; ORAL	0.5MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	009	TABLET; ORAL	1MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	010	TABLET; ORAL	5MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	011	TABLET, DELAYED RELEASE; ORAL	0.1MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	012	TABLET, DELAYED RELEASE; ORAL	0.5MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	013	TABLET, DELAYED RELEASE; ORAL	1MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	014	TABLET, DELAYED RELEASE; ORAL	5MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004056	017	TABLET; ORAL	0.25MG	3		0	STILBETIN	DIETHYLSTILBESTROL
004122	002	TABLET; ORAL	500MG	3		0	SULFADIAZINE	SULFADIAZINE
004125	005	TABLET; ORAL	300MG	3		0	SULFADIAZINE	SULFADIAZINE
004570	001	INJECTABLE; INJECTION	1,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
004570	002	INJECTABLE; INJECTION	5,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
004570	003	INJECTABLE; INJECTION	10,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
004589	004	INJECTABLE; INJECTION	5ML/100ML;5GM/100ML	1	AP	1	ALCOHOL 5% AND DEXTROSE 5%	ALCOHOL; DEXTROSE
004589	006	INJECTABLE; INJECTION	10ML/100ML;5GM/100ML	1		1	ALCOHOL 10% AND DEXTROSE 5%	ALCOHOL; DEXTROSE
004782	001	TABLET; ORAL	1.25MG	1		1	PREMARIN	ESTROGENS, CONJUGATED
004782	002	TABLET; ORAL	2.5MG	3		0	PREMARIN	ESTROGENS, CONJUGATED
004782	003	TABLET; ORAL	0.3MG	1		0	PREMARIN	ESTROGENS, CONJUGATED
004782	004	TABLET; ORAL	0.625MG	1		1	PREMARIN	ESTROGENS, CONJUGATED
004782	005	TABLET; ORAL	0.9MG	1		1	PREMARIN	ESTROGENS, CONJUGATED
004782	006	TABLET; ORAL	0.45MG	1		0	PREMARIN	ESTROGENS, CONJUGATED
005010	001	TABLET; ORAL	50MG	1	AA	1	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	002	INJECTABLE; INJECTION	50MG/ML	3		0	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	003	INJECTABLE; INJECTION	100MG/ML	3		0	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	004	TABLET; ORAL	100MG	1	AA	1	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	005	SYRUP; ORAL	50MG/5ML	3		0	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	007	INJECTABLE; INJECTION	25MG/ML	3		0	DEMEROL	MEPERIDINE HYDROCHLORIDE
005010	009	INJECTABLE; INJECTION	75MG/ML	3		0	DEMEROL	MEPERIDINE HYDROCHLORIDE
005151	001	PELLET; IMPLANTATION	125MG	3		0	PERCORTEN	DESOXYCORTICOSTERONE ACETATE
005213	001	TABLET; ORAL	1.5MG;5MG	3		0	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
005213	002	SYRUP; ORAL	1.5MG/5ML;5MG/5ML	3		0	HYCODAN	HOMATROPINE METHYLBROMIDE; HYDROCODONE BITARTRATE
005264	004	INJECTABLE; INJECTION	1,000 UNITS/ML	3		0	PANHEPRIN	HEPARIN SODIUM
005264	006	INJECTABLE; INJECTION	5,000 UNITS/ML	3		0	PANHEPRIN	HEPARIN SODIUM
005264	007	INJECTABLE; INJECTION	10,000 UNITS/ML	3		0	PANHEPRIN	HEPARIN SODIUM
005264	008	INJECTABLE; INJECTION	20,000 UNITS/ML	3		0	PANHEPRIN	HEPARIN SODIUM
005264	009	INJECTABLE; INJECTION	40,000 UNITS/ML	3		0	PANHEPRIN	HEPARIN SODIUM
005264	010	INJECTABLE; INJECTION	100 UNITS/ML	3		0	HEPARIN LOCK FLUSH	HEPARIN SODIUM
005264	013	INJECTABLE; INJECTION	2,000 UNITS/ML	3		0	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
005264	014	INJECTABLE; INJECTION	2,500 UNITS/ML	3		0	HEPARIN SODIUM PRESERVATIVE FREE	HEPARIN SODIUM
005264	016	INJECTABLE; INJECTION	100 UNITS/ML	1	AP	0	HEPARIN LOCK FLUSH IN PLASTIC CONTAINER	HEPARIN SODIUM
005292	001	TABLET; ORAL	0.02MG	3		0	ESTINYL	ETHINYL ESTRADIOL
005292	002	TABLET; ORAL	0.05MG	3		0	ESTINYL	ETHINYL ESTRADIOL
005292	003	TABLET; ORAL	0.5MG	3		0	ESTINYL	ETHINYL ESTRADIOL
005319	001	INJECTABLE; INJECTION	100%	3		0	PANTOPAQUE	IOPHENDYLATE
005378	002	TABLET; ORAL	5MG	1	AA	1	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005378	003	TABLET, EXTENDED RELEASE; ORAL	10MG	3		0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005378	004	TABLET, EXTENDED RELEASE; ORAL	5MG	3		0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005378	005	TABLET, EXTENDED RELEASE; ORAL	15MG	3		0	DESOXYN	METHAMPHETAMINE HYDROCHLORIDE
005490	002	TABLET; ORAL	0.05MG	3		0	LYNORAL	ETHINYL ESTRADIOL
005490	003	TABLET; ORAL	0.01MG	3		0	LYNORAL	ETHINYL ESTRADIOL
005509	001	CAPSULE; ORAL	50MG	3		0	DICUMAROL	DICUMAROL
005509	003	CAPSULE; ORAL	25MG	3		0	DICUMAROL	DICUMAROL
005521	001	INJECTABLE; INJECTION	1,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
005521	002	INJECTABLE; INJECTION	10,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
005521	004	INJECTABLE; INJECTION	20,000 UNITS/ML	3		0	HEPARIN SODIUM	HEPARIN SODIUM
005545	003	TABLET; ORAL	25MG	3		0	DICUMAROL	DICUMAROL
005545	004	TABLET; ORAL	50MG	3		0	DICUMAROL	DICUMAROL
005545	005	TABLET; ORAL	100MG	3		0	DICUMAROL	DICUMAROL
005619	001	INJECTABLE; INJECTION	20%	1		1	AMINOHIPPURATE SODIUM	AMINOHIPPURATE SODIUM
005620	001	INJECTABLE; INJECTION	12.5GM/50ML	3		0	MANNITOL 25%	MANNITOL
005657	001	INJECTABLE; INJECTION	3MG/ML	3		0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE
005691	002	TABLET; ORAL	130CSR UNIT	3		0	VERTAVIS	VERATRUM VIRIDE ROOT
005725	001	INJECTABLE; INJECTION	10MG/ML	3		0	KAPPADIONE	MENADIOL SODIUM DIPHOSPHATE
005794	001	CREAM; VAGINAL	3.7%;2.86%;3.42%	3		0	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
005794	002	TABLET; VAGINAL	184MG;143.75MG;172.5MG	3		0	SULTRIN	TRIPLE SULFA (SULFABENZAMIDE;SULFACETAMIDE;SULFATHIAZOLE)
005795	001	OINTMENT; TOPICAL	0.2%	3		0	FURACIN	NITROFURAZONE
005845	001	CAPSULE; ORAL	50MG	3		0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
005845	004	ELIXIR; ORAL	12.5MG/5ML	3		0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
005845	007	CAPSULE; ORAL	25MG	3		0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
005856	002	SOLUTION; ORAL	200MG/5ML	3		0	TRIDIONE	TRIMETHADIONE
005856	005	CAPSULE; ORAL	300MG	3		0	TRIDIONE	TRIMETHADIONE
005856	009	TABLET; ORAL	150MG	1		1	TRIDIONE	TRIMETHADIONE
005897	004	TABLET; ORAL	1MG	3		0	FOLVITE	FOLIC ACID
005897	008	INJECTABLE; INJECTION	5MG/ML	3		0	FOLVITE	FOLIC ACID
005914	002	TABLET; ORAL	50MG	3		0	PBZ	TRIPELENNAMINE HYDROCHLORIDE
005914	004	ELIXIR; ORAL	EQ 25MG HCL/5ML	3		0	PBZ	TRIPELENNAMINE CITRATE
005929	001	INJECTABLE; INJECTION	1MG/ML	1	AP	1	D.H.E. 45	DIHYDROERGOTAMINE MESYLATE
005932	012	INJECTABLE; INJECTION	5%	3		0	AMINOSOL 5%	PROTEIN HYDROLYSATE
005939	001	INJECTABLE; INJECTION	10%	1		1	BAL	DIMERCAPROL
005963	001	SOLUTION/DROPS; OPHTHALMIC	10%	3		0	SODIUM SULAMYD	SULFACETAMIDE SODIUM
005963	002	OINTMENT; OPHTHALMIC	10%	3		0	SODIUM SULAMYD	SULFACETAMIDE SODIUM
005963	003	SOLUTION/DROPS; OPHTHALMIC	30%	3		0	SODIUM SULAMYD	SULFACETAMIDE SODIUM
005970	004	INJECTABLE; INJECTION	1% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	SOTRADECOL	SODIUM TETRADECYL SULFATE
005970	005	INJECTABLE; INJECTION	3% **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	SOTRADECOL	SODIUM TETRADECYL SULFATE
006002	001	TABLET; ORAL	EQ 300MG BASE	1	AA	1	ARALEN	CHLOROQUINE PHOSPHATE
006002	002	INJECTABLE; INJECTION	EQ 40MG BASE/ML	3		0	ARALEN HYDROCHLORIDE	CHLOROQUINE HYDROCHLORIDE
006008	001	TABLET; ORAL	100MG **Federal Register determination that the product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	MESANTOIN	MEPHENYTOIN
006012	003	CAPSULE; ORAL	182MG;0.33MG	3		0	FOLVRON	FERROUS SULFATE; FOLIC ACID
006035	003	TABLET; ORAL	0.2MG	1	AB	1	METHERGINE	METHYLERGONOVINE MALEATE
006035	004	INJECTABLE; INJECTION	0.2MG/ML	1	AP	1	METHERGINE	METHYLERGONOVINE MALEATE
006044	003	TABLET, DELAYED RELEASE; ORAL	165MG	3		0	DIASONE SODIUM	SULFOXONE SODIUM
006071	003	INJECTABLE; INJECTION	50MG/ML;0.03MG/ML;0.0025MG/ML;7.5MG/ML;100 IU/ML;0.2MG/ML;20MG/ML;2MG/ML;1.8MG/ML;1.5MG/ML;1,650 IU/ML;5 IU/ML	3		0	BEROCCA PN	ASCORBIC ACID; BIOTIN; CYANOCOBALAMIN; DEXPANTHENOL; ERGOCALCIFEROL; FOLIC ACID; NIACINAMIDE; PYRIDOXINE HYDROCHLORIDE; RIBOFLAVIN 5'-PHOSPHATE SODIUM; THIAMINE HYDROCHLORIDE; VITAMIN A PALMITATE; VITAMIN E
006095	001	INJECTABLE; INJECTION	3MG/ML	3		0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE
006110	005	CREAM; VAGINAL	0.01%	3		0	DIENESTROL	DIENESTROL
006134	002	TABLET; ORAL	5MG	1	AA	1	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006134	004	SYRUP; ORAL	10MG/30ML	3		0	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006134	010	TABLET; ORAL	10MG	1	AA	1	DOLOPHINE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006135	003	TABLET; ORAL	1MG	3		0	FOLIC ACID	FOLIC ACID
006146	001	INJECTABLE; INJECTION	10MG/ML	3		0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
006146	002	INJECTABLE; INJECTION	50MG/ML	3		0	BENADRYL	DIPHENHYDRAMINE HYDROCHLORIDE
006170	003	INJECTABLE; INJECTION	5%	3		0	HYPROTIGEN 5%	PROTEIN HYDROLYSATE
006188	001	TABLET; ORAL	50MG	1	BD	1	PROPYLTHIOURACIL	PROPYLTHIOURACIL
006203	001	INJECTABLE; INJECTION	2.5MG/ML	3		0	HEAVY SOLUTION NUPERCAINE	DIBUCAINE HYDROCHLORIDE
006213	001	TABLET; ORAL	50MG	3		0	PROPYLTHIOURACIL	PROPYLTHIOURACIL
006270	003	SOAP; TOPICAL	2%	3		0	GAMOPHEN	HEXACHLOROPHENE
006309	001	CREAM; TOPICAL	1%	3		0	KWELL	LINDANE
006309	003	LOTION; TOPICAL	1%	3		0	KWELL	LINDANE
006317	007	SUSPENSION; ORAL	250MG/5ML;250MG/5ML	3		0	SULFONAMIDES DUPLEX	SULFADIAZINE; SULFAMERAZINE
006317	011	TABLET; ORAL	167MG;167MG;167MG	3		0	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006317	012	SUSPENSION; ORAL	167MG/5ML;167MG/5ML;167MG/5ML	3		0	NEOTRIZINE	TRISULFAPYRIMIDINES (SULFADIAZINE;SULFAMERAZINE;SULFAMETHAZINE)
006325	001	INJECTABLE; INJECTION	3MG/ML	3		0	TUBOCURARINE CHLORIDE	TUBOCURARINE CHLORIDE
006327	002	SOLUTION; INHALATION	0.5%	3		0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006327	003	SOLUTION; INHALATION	1%	3		0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006328	001	TABLET; RECTAL, SUBLINGUAL	10MG	3		0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006328	002	TABLET; RECTAL, SUBLINGUAL	15MG	3		0	ISUPREL	ISOPROTERENOL HYDROCHLORIDE
006333	008	ELIXIR; ORAL	EQ 165MG BASE/15ML	3		0	SYNOPHYLATE	THEOPHYLLINE SODIUM GLYCINATE
006343	002	INJECTABLE; INJECTION	150 UNITS/ML	3		0	WYDASE	HYALURONIDASE
006343	005	INJECTABLE; INJECTION	1,500 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	WYDASE	HYALURONIDASE
006343	006	INJECTABLE; INJECTION	150 UNITS/VIAL **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	WYDASE	HYALURONIDASE
006383	002	POWDER; FOR RX COMPOUNDING	50GM/BOT	1		0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006383	003	POWDER; FOR RX COMPOUNDING	100GM/BOT	1		0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006383	004	POWDER; FOR RX COMPOUNDING	500GM/BOT	1		0	METHADONE HYDROCHLORIDE	METHADONE HYDROCHLORIDE
006403	005	INJECTABLE; INJECTION	25MG/ML	3		0	PRISCOLINE	TOLAZOLINE HYDROCHLORIDE
006412	014	TABLET; ORAL	25MG	3		0	DECAPRYN	DOXYLAMINE SUCCINATE
006412	015	TABLET; ORAL	12.5MG	3		0	DECAPRYN	DOXYLAMINE SUCCINATE
006441	001	TABLET; ORAL	EQ 200MG BASE	3		0	CAMOQUIN HYDROCHLORIDE	AMODIAQUINE HYDROCHLORIDE
006459	001	TABLET; ORAL	50MG	3		0	HETRAZAN	DIETHYLCARBAMAZINE CITRATE
006460	002	INJECTABLE; INJECTION	10MG/ML	3		0	PROTAMINE SULFATE	PROTAMINE SULFATE
006470	001	INJECTABLE; INJECTION	EQ 90MG CALCIUM/5ML	3		0	CALCIUM GLUCEPTATE	CALCIUM GLUCEPTATE
006488	002	INJECTABLE; INJECTION	2%	1	AP	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	003	INJECTABLE; INJECTION	0.01MG/ML;2%	3		0	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	004	INJECTABLE; INJECTION	0.01MG/ML;1%	1	AP	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	005	INJECTABLE; INJECTION	0.02MG/ML;2%	1	AP	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	007	INJECTABLE; INJECTION	1%	1	AP	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	008	INJECTABLE; INJECTION	0.5%	1	AP	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	010	INJECTABLE; INJECTION	1.5%	1	AP	1	XYLOCAINE	LIDOCAINE HYDROCHLORIDE
006488	012	INJECTABLE; INJECTION	0.005MG/ML;0.5%	1	AP	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	017	INJECTABLE; INJECTION	0.005MG/ML;1.5%	1	AP	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	018	INJECTABLE; INJECTION	0.005MG/ML;1%	1	AP	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006488	019	INJECTABLE; INJECTION	0.005MG/ML;2%	1	AP	1	XYLOCAINE W/ EPINEPHRINE	EPINEPHRINE; LIDOCAINE HYDROCHLORIDE
006514	004	SYRUP; ORAL	12.5MG/5ML	3		0	BENYLIN	DIPHENHYDRAMINE HYDROCHLORIDE
006525	001	TABLET; ORAL	500MG	3		0	GANTRISIN	SULFISOXAZOLE
006530	003	CREAM; VAGINAL	15%	1		1	AVC	SULFANILAMIDE
006530	004	SUPPOSITORY; VAGINAL	1.05GM	3		0	AVC	SULFANILAMIDE
006536	001	INJECTABLE; INJECTION	5MG/ML **Federal Register determination that product was not discontinued or withdrawn for safety or efficacy reasons**	3		0	URECHOLINE	BETHANECHOL CHLORIDE
006536	002	TABLET; ORAL	10MG	3		0	URECHOLINE	BETHANECHOL CHLORIDE
006536	003	TABLET; ORAL	5MG	3		0	URECHOLINE	BETHANECHOL CHLORIDE
006536	004	TABLET; ORAL	25MG	3		0	URECHOLINE	BETHANECHOL CHLORIDE
006536	005	TABLET; ORAL	50MG	3		0	URECHOLINE	BETHANECHOL CHLORIDE
006580	001	INJECTABLE; INJECTION	900MG/100ML	3		0	AMMONIUM CHLORIDE 0.9% IN NORMAL SALINE	AMMONIUM CHLORIDE
006620	001	TABLET; ORAL	100MG;1MG	3		0	CAFERGOT	CAFFEINE; ERGOTAMINE TARTRATE
006632	003	INJECTABLE; INJECTION	2MG/ML	3		0	METUBINE IODIDE	METOCURINE IODIDE
006668	010	INJECTABLE; INJECTION	1MG/ML	3		0	REDISOL	CYANOCOBALAMIN
006695	001	INJECTABLE; INJECTION	10MG/VIAL	1		1	MUSTARGEN	MECHLORETHAMINE HYDROCHLORIDE
006772	001	INJECTABLE; INJECTION	20MG/ML	3		0	VASOXYL	METHOXAMINE HYDROCHLORIDE
006772	002	INJECTABLE; INJECTION	10MG/ML	3		0	VASOXYL	METHOXAMINE HYDROCHLORIDE
006773	003	TABLET; ORAL	5MG	3		0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006773	005	TABLET; ORAL	2MG	3		0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006773	009	ELIXIR; ORAL	2MG/5ML	3		0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006773	010	CAPSULE, EXTENDED RELEASE; ORAL	5MG	3		0	ARTANE	TRIHEXYPHENIDYL HYDROCHLORIDE
006798	001	INJECTABLE; INJECTION	1MG/ML	3		0	BERUBIGEN	CYANOCOBALAMIN
006799	002	INJECTABLE; INJECTION	0.1MG/ML	3		0	RUBRAMIN PC	CYANOCOBALAMIN
006799	004	INJECTABLE; INJECTION	1MG/ML	3		0	RUBRAMIN PC	CYANOCOBALAMIN
006799	010	INJECTABLE; INJECTION	1MG/ML	3		0	RUBRAMIN PC	CYANOCOBALAMIN
006800	001	CAPSULE; ORAL	300MG	3		0	PARADIONE	PARAMETHADIONE
006800	002	SOLUTION; ORAL	300MG/ML	3		0	PARADIONE	PARAMETHADIONE
